"","2016-06-19","2016-06-20","2016-06-21","2016-06-22","2016-06-23","2016-06-24","2016-06-25","2016-06-26","2016-06-27","2016-06-28","2016-06-29","2016-06-30","2016-07-01","2016-07-02","2016-07-03","2016-07-04","2016-07-05","2016-07-06","2016-07-07","2016-07-08","2016-07-09","2016-07-10","2016-07-11","2016-07-12","2016-07-13","2016-07-14","2016-07-15","2016-07-16","2016-07-17","2016-07-18","2016-07-19"
"WBB.DO.mean",2.26511293871586,2.22191015087039,2.22434580405451,2.17453276507125,2.21980330412696,2.23181342950989,2.27081438893597,2.29558319319786,2.2831741372363,2.27164274668406,2.27641221869002,2.28724682189689,2.29408842416321,2.28750385556632,2.31562096768791,2.29966594280097,2.2202794100557,2.27662501083671,2.25777181053732,2.29993314217888,2.26371038058166,2.29348828667405,2.21171034512116,2.22382986261743,2.290754189001,2.30885902147452,2.2757381206199,2.23654915499093,2.30499522975797,2.30817879403685,2.30699001122737
"SKE.DP.mean",NA,NA,NA,2.65449018870597,2.28967863238571,2.17234569967645,2.49152511926694,2.44415959250784,2.45600931854109,2.47005148580892,2.51984470114928,2.5858237141721,2.70597615633272,2.70356126765987,2.70540635835077,2.53013601159763,2.45053011682861,2.49175986348199,2.40141366615094,2.2453229220346,1.5729063462393,2.03121371936658,2.37056819557667,2.54843233423595,2.42044219998115,2.50719715283246,2.50522738496583,2.58717309803788,2.50191757287084,2.27438115762969,1.91482482512933
"SKB.DO.mean",NA,NA,NA,2.72010305887153,2.2793672188884,1.90690393280225,2.39393612142526,2.35888382486336,2.388023474215,2.37860690718637,2.50489081470835,2.72415974283528,2.83455285152984,2.8779693648137,2.87712678439081,2.3761135321716,2.39661556371896,2.49846971633562,2.3282768064768,2.0320052834007,1.65663274868224,2.06849644537821,2.30193210206409,2.59018382864008,2.542247017238,2.48676256539959,2.36621835376079,2.50208115467791,2.42792755989725,2.15860974120844,1.80305652759997
"PGE.DO.mean",2.46818357332451,2.42450521734868,2.41695615200763,2.52058322592854,2.40208815105841,2.49072303510944,2.5710570411565,2.54985045435319,2.56631782051964,2.43639362112602,2.7185576455804,2.61481710794214,2.56298233040186,2.41660035573962,2.341896982362,2.29797448043636,2.2631540128876,2.46983677086648,2.34910585994346,2.43547044364505,2.59957720781846,2.45624676438728,2.56575839465117,2.64034637361431,2.72996754378667,2.58395523095831,2.55547571949906,2.50221597531056,2.59256575118057,2.46711034181984,NA
"PGB.DO.mean",2.4878087706467,2.44713642478423,2.475245282783,2.5007966810419,2.43053476026233,2.47503021427613,2.54319427591589,2.58741014687579,2.75573955361505,2.61174719822864,2.6918135821345,2.68617487607029,2.54044647046187,2.45079876972522,2.31873840567207,2.32637804332143,2.34983055076131,2.47202488973949,2.3411301170181,2.40574318509667,2.57832109442743,2.652693524503,2.61167221001097,2.74349275232795,2.70420820475408,2.63479711570326,2.58221208292893,2.59873521013665,2.63995133980692,2.48747972547654,NA
"CIE.DO.mean",2.47578659746443,2.35991890297383,2.39722731042086,2.44429268000192,2.43801103129643,2.46746882414298,2.47789645863087,2.42818402756194,2.52127987430045,2.46415181490007,2.59656114651358,2.55878849818646,2.41764758544831,2.44711466757853,2.48794125639458,2.50739693468207,2.45345898142817,2.32717288251357,2.35167718602669,2.39726082210563,2.40863048045661,2.3210864927972,2.53208064976083,2.49608811650505,2.41326269784616,2.19683870042616,2.2853560401014,2.47128719281587,2.32148535249453,2.18990393992827,2.25073944591527
"CIB.DO.mean",2.3422200417908,2.31172353779141,2.35397714283569,2.30501189798542,2.31191541360121,2.33388218935181,2.31681154049213,2.26180056779579,2.24534040092243,2.37894796143339,2.36537729854309,2.28720383979294,2.13672091594571,2.24520983503257,2.26900223871788,2.30016199158634,2.25058979787567,2.10850876841201,2.03735901386131,2.11979831172089,2.15605776371942,2.09949944684736,2.30280034760289,2.26876256118472,2.22703056225826,1.92392418763793,2.02663638375478,2.24780142219797,2.0967606955503,1.97197307107825,2.17190676935193
"FBE.DO.mean",2.41336628841473,2.2485248161441,2.28043159646078,2.12152345645285,2.35897379081627,2.35096109273428,2.69181918799179,2.89662991251078,2.67848327622231,3.00705287370865,2.91684155360288,3.07647765206842,2.65998345941015,2.79694918036983,2.91892434569543,2.80074924619672,2.57669331327582,NA,NA,NA,NA,NA,2.6748380668961,2.18380155700408,NA,1.3244189574018,3.04113044803913,2.83666138969206,2.74422139740704,2.88784331154281,3.04400470537947
"FBB.DO.mean",2.39786309207141,2.48605182715536,2.3664730647324,2.29652210732876,2.12484417945914,2.24628155660897,2.34900047193687,2.35319898997677,2.47566153616052,2.65204827367346,2.71182409290377,2.64672818168905,2.35285199875599,2.28898408867698,2.2331867339027,1.88352803136641,1.95476116907823,2.36950738573342,2.26945613221051,2.34647543317468,2.41737375098312,2.54817948933607,2.63741368485782,2.57161146638283,2.65953426403497,2.71172572973015,2.58773938313043,2.33473228181599,2.43124594813186,2.29949181817338,2.23921731484081
"CIB.sal.mean",3.18467941530136,3.18629483804631,3.1708014883491,3.1591109732036,3.16094614997827,3.17562282028203,3.16115781392355,3.19595786043409,3.23780051306988,3.2573969926974,3.25421596831398,3.25227002175398,3.24482979409537,3.23455643478632,3.23884297996995,3.25074766374882,3.23460225995427,3.21935797811719,3.23804751135587,3.24806793621926,3.23458397123769,3.29976594100674,3.28413960741565,3.27943791902024,3.29534464439104,3.30221379649152,3.28196224326367,3.2548637765854,3.2916322347223,3.27835787729413,3.27011197476589
"CIE.sal.mean",3.19501293789038,3.20393965879624,3.18820031542512,3.08700100705176,2.95476458077457,2.97435966448113,NA,NA,NA,3.0470832585851,3.10402206113614,3.10543300717422,3.09329674460841,3.07959768152733,3.07065160477859,3.07850390628558,3.10699839367465,3.06300143808909,2.94027130757986,2.94579984886172,2.94535868860311,2.94961510716737,2.93816242173251,2.93039156594901,2.95074953723798,2.96068465908133,2.94490055314186,2.9387409580518,3.02386429972715,3.05195396286819,3.06262247936704
"FBB.sal.mean",3.41946768696243,3.39909727588504,3.39736721209579,3.39834950747145,3.40728603424746,3.41189644321784,3.41142462494354,3.40196631672503,3.39359278227694,3.39825599709173,3.40382795131197,3.40443223711105,3.40770298081485,3.40320003701327,3.40499966761189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBE.sal.mean",3.43754504561345,3.42973726590637,3.4225528043014,3.42239306900526,3.43434806875899,3.44589437614558,3.44468993294336,3.44390849975521,3.43421275991635,3.43837638490391,3.43698293837107,3.4400145706994,3.44404250310549,3.44482383162689,3.44557509092515,3.44549003819066,3.44835222249086,3.4519392419866,3.45165116291799,3.44613954793422,3.43894988136714,3.44980992988121,3.44227668573281,3.44709737040935,3.44104547552165,3.4504092573206,3.44093347211663,3.42539714062008,3.41340823905012,NA,3.40252982689593
"PGE.sal.mean",3.22436449392669,3.24593075953753,3.26164054645621,3.25046191597798,3.20532456589364,3.17847644634723,3.20824610244167,3.23033439945715,3.22670523475194,3.22820282225242,3.22044103285727,3.19821632706682,3.17820813942934,3.19300559608306,3.14885880707517,3.07837807466276,3.06481047473359,3.04272535164381,3.116802082917,3.08760361662551,3.06312946702926,3.03715127292997,3.13670965211646,3.17609970784141,3.1948410378212,3.21146380822957,3.20396805135172,3.2075956591275,3.2082294244767,3.21660459085139,3.25092804854287
"SKB.sal.mean",NA,NA,NA,2.6783543524332,2.69642107257909,2.75659613520571,2.65334045281333,2.60950402186411,2.60522467218693,2.63895742452501,2.68331796068704,2.68675275082093,2.6665966940886,2.66955684241015,2.66219190501692,2.59470176251369,2.58750110566502,2.56741255734634,2.63980629981629,2.72143343820323,2.78875971169567,2.73681660130544,2.70860948523312,2.72046696552289,2.69774083144335,2.6279064782258,2.61576109428356,2.66089506318493,2.65156617930697,2.69126678761332,2.74601594651078
"SKE.sal.mean",NA,NA,NA,3.3971149859386,3.40306044694255,3.45173981147086,3.37832711691086,3.33736102265346,3.33929717973946,3.36132190874593,3.4153852997506,3.41939902057804,3.39859596168575,3.40327215091605,3.37796969554285,3.32422343721697,3.31886325362754,3.3100384650283,3.35799014406121,3.42010834594785,3.44431045594739,3.42131989928438,3.36972836451287,3.39542316716869,3.40224578294637,3.35392005858534,3.35117919104954,3.36958402271124,3.36587210175042,3.39379415878347,3.38556199917702
"WBB.sal.mean",3.35395289731396,3.34266854392607,3.335881655692,3.32820326501611,3.31963974584113,3.31711335779179,3.31612721437806,3.31476434979543,3.31971549860443,3.32897753085177,3.32830079669473,3.33416284916438,3.3435189968194,3.35171253181004,3.35904116412876,3.36509652786531,3.36023422993488,3.35859602724182,3.34457191401645,3.34020124381376,3.35397137817073,3.3449747353233,3.36379319943527,3.3512527051459,3.35169367626944,3.34241692080597,3.35611711053834,3.35712599354359,3.37202922992381,3.33781496518954,3.33280729692287
"WBE.temp.mean",2.93912517829825,2.93245221947373,2.97037885239995,2.98455897295587,2.94575390374775,2.93772791376735,2.95898904445664,2.97066372225196,2.95920515164664,2.95081480912654,2.9336352140664,2.9113689026511,2.9145372818858,2.91750793479333,2.92428102559146,2.92431831884698,2.93200823544986,2.97821869106128,2.93444771180287,2.94088735798257,2.8983261487908,2.90279427789472,2.93011910111142,2.94063056677076,2.95783568336284,2.96966632253261,2.96863225158879,2.98164039219679,2.98680364280969,2.99385551354113,3.00216984121242
"WBB.temp.mean",2.89947372752588,2.92577167206261,2.95382462047525,2.96136365879834,2.9396027419978,2.93555460045221,2.96244116770225,2.96991576574103,2.96078851229987,2.95711415658093,2.92633009212067,2.9110288372797,2.91521491621509,2.91874623210536,2.92245195025744,2.9169821329334,2.92454204917829,2.95498261438043,2.93452154250909,2.94293931722368,2.89779016102912,2.91979570746405,2.9366234294492,2.94268305246418,2.96240526943792,2.96823973789037,2.96269241947579,2.97673348975571,2.9882040071332,2.99260238054506,3.00509800011602
"SKE.temp.mean",NA,NA,NA,2.88471974446482,2.73886675213951,2.61597552215603,2.81528396114172,2.89164409627844,2.89981774450078,2.84264584202837,2.76391405307859,2.75679627258882,2.7911225029515,2.79931179238053,2.81773468824009,2.94352481875905,2.93577583123369,3.02633556787991,2.85219062764607,2.69312455088553,2.55117977673778,2.66404026010577,2.7132219895046,2.68902782488653,2.74142229165043,2.86398500272297,2.88526615386046,2.80327620227944,2.8189785210635,2.75087019828514,2.66925162106043
"SKB.temp.mean",NA,NA,NA,2.86509523895583,2.74490879616554,2.5995468919562,2.79129291150642,2.89160556434509,2.8988618494235,2.83838784171845,2.72220875333357,2.70359585075283,2.75864649338096,2.7649205075996,2.77315279922955,2.90659743148615,2.91641846683427,2.99159176903914,2.84110694406136,2.65426843291349,2.55188360178511,2.62093780890971,2.672950614061,2.67892648938024,2.70948435739346,2.85239101640092,2.8686483055146,2.80982094790948,2.81553346214102,2.72211745831365,2.652165485568
"PGE.temp.mean",2.82599783226551,2.77501632877272,2.78041392807664,2.80709917414623,2.72853342462693,2.74321176110303,2.74811635449096,2.75140232547609,2.82455670217029,2.80028326085254,2.7792505109466,2.79838167774028,2.81345238255867,2.8192685262442,2.85066635940068,2.81069870925656,2.75899852858811,2.86049307425111,2.73994356487816,2.72453396467594,2.73211027402481,2.74660295617842,2.75463334605754,2.7792505109466,2.79461008729632,2.79804323962891,2.81798357860517,2.82948909738938,2.82570977234705,2.83492756022229,NA
"PGB.temp.mean",2.84305042187772,2.77145961281336,2.78920340305977,2.82092408723655,2.74160138276351,2.75807417172057,2.74856103610625,2.73962961425553,2.79086683565847,2.78286559493188,2.76732314728936,2.78282263499201,2.8132023617223,2.81565818930052,2.84797316110915,2.8150759960791,2.75767775706566,2.85114795831837,2.74820530663476,2.7403022449394,2.73021025083389,2.74397131702275,2.75803013340723,2.77791306440688,2.77657382670806,2.78153297786201,2.81069870925656,2.82133754957602,2.82788873594069,2.82443308004177,NA
"CIE.temp.mean",2.78864831006745,2.77696282245563,2.83349925089338,2.79197425548372,2.86659597026369,2.85902122801209,2.8301039397017,2.74330115057301,2.80070534426248,2.87798829963469,2.91592969908321,2.9010781285118,2.84680519545149,2.88522737538251,2.8759942030618,2.92088150422722,2.86572640499151,2.83631310997734,2.84539376261309,2.86449982363607,2.84579723245919,2.79694252405273,2.86382654295161,2.86916073186453,2.85862305958158,2.79227219755747,2.88844088261003,2.95700588264778,2.88025127367885,2.89310721066235,3.05955439230331
"CIB.temp.mean",2.78316626284643,2.77176372924885,2.828914903296,2.78736614902335,2.86382654295161,2.85239101640092,2.82570977234705,2.7374741506701,2.79846626937421,2.87246547954135,2.90576197782422,2.88685477809755,2.82389720748417,2.87360387295955,2.86572640499151,2.91393455452634,2.85874252675812,2.83280476386667,2.83700516561367,2.85886197966395,2.84309087086145,2.79482235194868,2.85758707909287,2.86699097737895,2.85387264646474,2.78693839642892,2.87442741856581,2.94757732425953,2.86841171245356,2.88514981391501,3.04051308826143
"FBE.temp.mean",2.73165821488778,2.80399149484354,2.79252750584361,2.76658112940324,2.69771924226384,2.66302377849643,2.71905424869473,2.75935043991009,2.83602800662544,2.75520763980248,2.74971628372429,2.7401229209902,2.72508028838632,2.78916071453658,2.80789553607193,2.77920739541854,2.72161518666545,2.74401597882129,2.71464875306501,2.74958305401387,2.74361395080793,2.74580081709798,2.76443928616284,2.73994356487816,2.80074754280664,2.79086683565847,2.86053282382877,2.9217418158627,2.94165733620456,2.92547372047754,2.80931902385678
"FBB.temp.mean",2.72762586001411,2.80268675339706,2.78817837520886,2.7645267981958,2.6957526732918,2.66500737816954,2.71763376136627,2.75965826076079,2.83753406165724,2.75436817612625,2.74110880500463,2.73846264823441,2.72211745831365,2.78496837437851,2.79897366896227,2.78097360950337,2.71992387366657,2.74776046676977,2.71735859511826,2.74307766191413,2.73985387475747,2.75073712223198,2.7627312690178,2.73490848860508,2.78522555397701,2.79367558718583,2.85842391589876,2.92241458733266,2.94370771770789,2.92454204917829,2.80542054686886
