Sample	Original bottom strand	Complementary to original bottom strand	Complementary to original top strand	Original top strand
zr3644_19_L0-0.6_PE_report	3695.0	3778.0	3708.0	3602.0
zr3644_19_L0-0.8_PE_report	3987.0	4004.0	3991.0	3843.0
zr3644_19_L0-1.0_PE_report	4170.0	4235.0	4187.0	4053.0
zr3644_19_PE_report	7704402.0	7721438.0	7705238.0	7688638.0
zr3644_1_L-1-0.6_PE_report	3792.0	3674.0	3681.0	3731.0
zr3644_1_L0-0.4_PE_report	3317.0	3234.0	3198.0	3257.0
zr3644_1_L0-0.6_PE_report	3763.0	3658.0	3673.0	3726.0
zr3644_1_L0-0.8_PE_report	4003.0	3913.0	3939.0	3989.0
zr3644_1_L0-1.0_PE_report	4212.0	4113.0	4118.0	4184.0
zr3644_1_PE_report	8144857.0	8055305.0	8037717.0	8131456.0
zr3644_20_L-1-0.6_PE_report	3674.0	3828.0	3887.0	3521.0
zr3644_20_L0-0.4_PE_report	3219.0	3343.0	3386.0	3038.0
zr3644_20_L0-0.6_PE_report	3668.0	3815.0	3884.0	3490.0
zr3644_20_L0-0.8_PE_report	3943.0	4089.0	4116.0	3756.0
zr3644_20_L0-1.0_PE_report	4130.0	4283.0	4333.0	3943.0
zr3644_20_PE_report	8107299.0	8717414.0	8697269.0	8090888.0
zr3644_21_L-1-0.6_PE_report	3640.0	3773.0	3715.0	3709.0
zr3644_21_L0-0.4_PE_report	3135.0	3294.0	3280.0	3200.0
zr3644_21_L0-0.6_PE_report	3617.0	3760.0	3689.0	3700.0
zr3644_21_L0-0.8_PE_report	3890.0	4041.0	3971.0	3981.0
zr3644_21_L0-1.0_PE_report	4085.0	4243.0	4169.0	4158.0
zr3644_21_PE_report	7980517.0	7982430.0	7962703.0	7964601.0
zr3644_22_L-1-0.6_PE_report	3733.0	3677.0	3744.0	3791.0
zr3644_22_L0-0.4_PE_report	3244.0	3239.0	3256.0	3335.0
zr3644_22_L0-0.6_PE_report	3710.0	3664.0	3725.0	3790.0
zr3644_22_L0-0.8_PE_report	3951.0	3936.0	3984.0	4029.0
zr3644_22_L0-1.0_PE_report	4153.0	4131.0	4205.0	4214.0
zr3644_22_PE_report	7463147.0	7516667.0	7500072.0	7446294.0
zr3644_23_L-1-0.6_PE_report	3793.0	3728.0	3677.0	3722.0
zr3644_23_L0-0.4_PE_report	3341.0	3237.0	3244.0	3249.0
zr3644_23_L0-0.6_PE_report	3785.0	3696.0	3666.0	3706.0
zr3644_23_L0-0.8_PE_report	4055.0	3959.0	3938.0	3953.0
zr3644_23_L0-1.0_PE_report	4228.0	4167.0	4111.0	4158.0
zr3644_23_PE_report	6365750.0	6317472.0	6304328.0	6349154.0
zr3644_24_L-1-0.6_PE_report	3770.0	3810.0	3777.0	3784.0
zr3644_24_L0-0.4_PE_report	3295.0	3334.0	3331.0	3359.0
zr3644_24_L0-0.6_PE_report	3743.0	3803.0	3759.0	3766.0
zr3644_24_L0-0.8_PE_report	3997.0	4084.0	4014.0	4020.0
zr3644_24_L0-1.0_PE_report	4217.0	4258.0	4197.0	4218.0
zr3644_24_PE_report	8326031.0	8335314.0	8326492.0	8308022.0
zr3644_2_L-1-0.6_PE_report	3711.0	3712.0	3758.0	3701.0
zr3644_2_L0-0.4_PE_report	3217.0	3258.0	3291.0	3224.0
zr3644_2_L0-0.6_PE_report	3687.0	3701.0	3742.0	3692.0
zr3644_2_L0-0.8_PE_report	3973.0	3975.0	3998.0	3962.0
zr3644_2_L0-1.0_PE_report	4156.0	4157.0	4146.0	4140.0
zr3644_2_PE_report	8641872.0	8634917.0	8615896.0	8625829.0
zr3644_3_L-1-0.6_PE_report	3639.0	3671.0	3642.0	3677.0
zr3644_3_L0-0.4_PE_report	3177.0	3193.0	3212.0	3193.0
zr3644_3_L0-0.6_PE_report	3622.0	3655.0	3627.0	3664.0
zr3644_3_L0-0.8_PE_report	3909.0	3914.0	3896.0	3941.0
zr3644_3_L0-1.0_PE_report	4104.0	4105.0	4121.0	4135.0
zr3644_3_PE_report	6088669.0	6128872.0	6112281.0	6073905.0
zr3644_4_L-1-0.6_PE_report	3700.0	3775.0	3724.0	3632.0
zr3644_4_L0-0.4_PE_report	3203.0	3331.0	3259.0	3156.0
zr3644_4_L0-0.6_PE_report	3685.0	3747.0	3689.0	3620.0
zr3644_4_L0-0.8_PE_report	3954.0	4041.0	3976.0	3903.0
zr3644_4_L0-1.0_PE_report	4114.0	4246.0	4138.0	4117.0
zr3644_4_PE_report	7807578.0	7793769.0	7783361.0	7791298.0
zr3644_5_L-1-0.6_PE_report	3727.0	3608.0	3737.0	3732.0
zr3644_5_L0-0.4_PE_report	3243.0	3121.0	3291.0	3255.0
zr3644_5_L0-0.6_PE_report	3696.0	3601.0	3726.0	3727.0
zr3644_5_L0-0.8_PE_report	3947.0	3853.0	3976.0	3974.0
zr3644_5_L0-1.0_PE_report	4142.0	4048.0	4181.0	4167.0
zr3644_5_PE_report	6912882.0	7016275.0	7006413.0	6901721.0
zr3644_6_L-1-0.6_PE_report	3721.0	3784.0	3713.0	3766.0
zr3644_6_L0-0.4_PE_report	3249.0	3293.0	3273.0	3305.0
zr3644_6_L0-0.6_PE_report	3701.0	3766.0	3699.0	3750.0
zr3644_6_L0-0.8_PE_report	3937.0	4038.0	3986.0	4060.0
zr3644_6_L0-1.0_PE_report	4119.0	4269.0	4146.0	4243.0
zr3644_6_PE_report	8455635.0	8450279.0	8432031.0	8437241.0
zr3644_7_L-1-0.6_PE_report	3781.0	3675.0	3605.0	3656.0
zr3644_7_L0-0.4_PE_report	3325.0	3211.0	3136.0	3147.0
zr3644_7_L0-0.6_PE_report	3772.0	3650.0	3591.0	3638.0
zr3644_7_L0-0.8_PE_report	4025.0	3943.0	3862.0	3871.0
zr3644_7_L0-1.0_PE_report	4234.0	4157.0	4039.0	4066.0
zr3644_7_PE_report	12846694.0	12867258.0	12834500.0	12816540.0
zr3644_8_L-1-0.6_PE_report	3657.0	3738.0	3716.0	3654.0
zr3644_8_L0-0.4_PE_report	3196.0	3225.0	3265.0	3190.0
zr3644_8_L0-0.6_PE_report	3643.0	3718.0	3705.0	3641.0
zr3644_8_L0-0.8_PE_report	3892.0	4014.0	3941.0	3926.0
zr3644_8_L0-1.0_PE_report	4126.0	4214.0	4121.0	4114.0
zr3644_8_PE_report	6659973.0	6666416.0	6654456.0	6643845.0
zr3644_9_L-1-0.6_PE_report	3735.0	3714.0	3538.0	3827.0
zr3644_9_L0-0.4_PE_report	3327.0	3268.0	3123.0	3344.0
zr3644_9_L0-0.6_PE_report	3721.0	3693.0	3529.0	3799.0
zr3644_9_L0-0.8_PE_report	3973.0	3949.0	3788.0	4071.0
zr3644_9_L0-1.0_PE_report	4149.0	4122.0	3998.0	4252.0
zr3644_9_PE_report	7516242.0	7454199.0	7441841.0	7500578.0
