Unknown option: input
FLAG: 1
refSeqFile = /Volumes/web/spartina/project-oyster-oa/data/Cg-roslin/cgigas_uk_roslin_v1_genomic-mito.fa.
bamFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/merged-sorted-deduplicated.bam.
snpFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/SNP-candidates.txt.
methCgFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CpG-meth-info.tab.
methChgFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CHG-meth-info.tab.
methChhFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CHH-meth-info.tab.
vQualMin = 15.
nLayerMax = 1000.
vSnpRate = 0.100000.
vSnpPerBase = 0.020000.
mapqThr = 20.
Init chrome name-len array completed, total 647905321 bp of 237 chromosomes.
237 chromes loaded.
Init chrome name-idx hash table completed.
Init chrome seq array completed.
216500000 records have been dealed.
217000000 records have been dealed.
217500000 records have been dealed.
218000000 records have been dealed.
218500000 records have been dealed.
219000000 records have been dealed.
219500000 records have been dealed.
220000000 records have been dealed.
220500000 records have been dealed.
221000000 records have been dealed.
221500000 records have been dealed.
222000000 records have been dealed.
222500000 records have been dealed.
223000000 records have been dealed.
223500000 records have been dealed.
224000000 records have been dealed.
224500000 records have been dealed.
225000000 records have been dealed.
225500000 records have been dealed.
226000000 records have been dealed.
226500000 records have been dealed.
227000000 records have been dealed.
227500000 records have been dealed.
228000000 records have been dealed.
228500000 records have been dealed.
229000000 records have been dealed.
229500000 records have been dealed.
230000000 records have been dealed.
230500000 records have been dealed.
231000000 records have been dealed.
231500000 records have been dealed.
232000000 records have been dealed.
232500000 records have been dealed.
233000000 records have been dealed.
233500000 records have been dealed.
234000000 records have been dealed.
234500000 records have been dealed.
235000000 records have been dealed.
235500000 records have been dealed.
236000000 records have been dealed.
236500000 records have been dealed.
237000000 records have been dealed.
237500000 records have been dealed.
238000000 records have been dealed.
238500000 records have been dealed.
239000000 records have been dealed.
239500000 records have been dealed.
240000000 records have been dealed.
240500000 records have been dealed.
241000000 records have been dealed.
241500000 records have been dealed.
242000000 records have been dealed.
242500000 records have been dealed.
243000000 records have been dealed.
Chrome updated to NC_047562.1!
243500000 records have been dealed.
244000000 records have been dealed.
244500000 records have been dealed.
245000000 records have been dealed.
245500000 records have been dealed.
246000000 records have been dealed.
246500000 records have been dealed.
247000000 records have been dealed.
247500000 records have been dealed.
248000000 records have been dealed.
248500000 records have been dealed.
249000000 records have been dealed.
249500000 records have been dealed.
250000000 records have been dealed.
250500000 records have been dealed.
251000000 records have been dealed.
251500000 records have been dealed.
252000000 records have been dealed.
252500000 records have been dealed.
253000000 records have been dealed.
253500000 records have been dealed.
254000000 records have been dealed.
254500000 records have been dealed.
255000000 records have been dealed.
255500000 records have been dealed.
256000000 records have been dealed.
256500000 records have been dealed.
257000000 records have been dealed.
257500000 records have been dealed.
258000000 records have been dealed.
258500000 records have been dealed.
259000000 records have been dealed.
259500000 records have been dealed.
260000000 records have been dealed.
260500000 records have been dealed.
261000000 records have been dealed.
261500000 records have been dealed.
262000000 records have been dealed.
262500000 records have been dealed.
263000000 records have been dealed.
263500000 records have been dealed.
264000000 records have been dealed.
264500000 records have been dealed.
265000000 records have been dealed.
265500000 records have been dealed.
266000000 records have been dealed.
266500000 records have been dealed.
267000000 records have been dealed.
267500000 records have been dealed.
268000000 records have been dealed.
268500000 records have been dealed.
269000000 records have been dealed.
269500000 records have been dealed.
270000000 records have been dealed.
270500000 records have been dealed.
271000000 records have been dealed.
271500000 records have been dealed.
272000000 records have been dealed.
272500000 records have been dealed.
273000000 records have been dealed.
273500000 records have been dealed.
274000000 records have been dealed.
274500000 records have been dealed.
275000000 records have been dealed.
275500000 records have been dealed.
276000000 records have been dealed.
276500000 records have been dealed.
277000000 records have been dealed.
277500000 records have been dealed.
278000000 records have been dealed.
278500000 records have been dealed.
279000000 records have been dealed.
279500000 records have been dealed.
280000000 records have been dealed.
280500000 records have been dealed.
281000000 records have been dealed.
281500000 records have been dealed.
282000000 records have been dealed.
282500000 records have been dealed.
283000000 records have been dealed.
283500000 records have been dealed.
284000000 records have been dealed.
284500000 records have been dealed.
285000000 records have been dealed.
285500000 records have been dealed.
286000000 records have been dealed.
286500000 records have been dealed.
287000000 records have been dealed.
287500000 records have been dealed.
288000000 records have been dealed.
288500000 records have been dealed.
289000000 records have been dealed.
289500000 records have been dealed.
290000000 records have been dealed.
290500000 records have been dealed.
291000000 records have been dealed.
291500000 records have been dealed.
292000000 records have been dealed.
292500000 records have been dealed.
293000000 records have been dealed.
293500000 records have been dealed.
294000000 records have been dealed.
294500000 records have been dealed.
295000000 records have been dealed.
295500000 records have been dealed.
296000000 records have been dealed.
296500000 records have been dealed.
297000000 records have been dealed.
297500000 records have been dealed.
298000000 records have been dealed.
298500000 records have been dealed.
299000000 records have been dealed.
299500000 records have been dealed.
300000000 records have been dealed.
300500000 records have been dealed.
301000000 records have been dealed.
301500000 records have been dealed.
302000000 records have been dealed.
302500000 records have been dealed.
303000000 records have been dealed.
303500000 records have been dealed.
304000000 records have been dealed.
304500000 records have been dealed.
305000000 records have been dealed.
305500000 records have been dealed.
306000000 records have been dealed.
306500000 records have been dealed.
307000000 records have been dealed.
307500000 records have been dealed.
308000000 records have been dealed.
308500000 records have been dealed.
309000000 records have been dealed.
309500000 records have been dealed.
310000000 records have been dealed.
310500000 records have been dealed.
311000000 records have been dealed.
311500000 records have been dealed.
312000000 records have been dealed.
Chrome updated to NC_047563.1!
312500000 records have been dealed.
313000000 records have been dealed.
313500000 records have been dealed.
314000000 records have been dealed.
314500000 records have been dealed.
315000000 records have been dealed.
315500000 records have been dealed.
316000000 records have been dealed.
316500000 records have been dealed.
317000000 records have been dealed.
317500000 records have been dealed.
318000000 records have been dealed.
318500000 records have been dealed.
319000000 records have been dealed.
319500000 records have been dealed.
320000000 records have been dealed.
320500000 records have been dealed.
321000000 records have been dealed.
321500000 records have been dealed.
322000000 records have been dealed.
322500000 records have been dealed.
323000000 records have been dealed.
323500000 records have been dealed.
324000000 records have been dealed.
324500000 records have been dealed.
325000000 records have been dealed.
325500000 records have been dealed.
326000000 records have been dealed.
326500000 records have been dealed.
327000000 records have been dealed.
327500000 records have been dealed.
328000000 records have been dealed.
328500000 records have been dealed.
329000000 records have been dealed.
329500000 records have been dealed.
330000000 records have been dealed.
330500000 records have been dealed.
331000000 records have been dealed.
331500000 records have been dealed.
332000000 records have been dealed.
332500000 records have been dealed.
333000000 records have been dealed.
333500000 records have been dealed.
334000000 records have been dealed.
334500000 records have been dealed.
335000000 records have been dealed.
335500000 records have been dealed.
336000000 records have been dealed.
336500000 records have been dealed.
337000000 records have been dealed.
337500000 records have been dealed.
338000000 records have been dealed.
338500000 records have been dealed.
339000000 records have been dealed.
339500000 records have been dealed.
340000000 records have been dealed.
340500000 records have been dealed.
341000000 records have been dealed.
341500000 records have been dealed.
342000000 records have been dealed.
342500000 records have been dealed.
343000000 records have been dealed.
343500000 records have been dealed.
344000000 records have been dealed.
344500000 records have been dealed.
345000000 records have been dealed.
345500000 records have been dealed.
346000000 records have been dealed.
346500000 records have been dealed.
347000000 records have been dealed.
347500000 records have been dealed.
348000000 records have been dealed.
348500000 records have been dealed.
349000000 records have been dealed.
349500000 records have been dealed.
350000000 records have been dealed.
350500000 records have been dealed.
351000000 records have been dealed.
351500000 records have been dealed.
352000000 records have been dealed.
352500000 records have been dealed.
353000000 records have been dealed.
353500000 records have been dealed.
354000000 records have been dealed.
354500000 records have been dealed.
355000000 records have been dealed.
355500000 records have been dealed.
356000000 records have been dealed.
356500000 records have been dealed.
357000000 records have been dealed.
357500000 records have been dealed.
358000000 records have been dealed.
358500000 records have been dealed.
359000000 records have been dealed.
359500000 records have been dealed.
360000000 records have been dealed.
360500000 records have been dealed.
361000000 records have been dealed.
361500000 records have been dealed.
362000000 records have been dealed.
362500000 records have been dealed.
363000000 records have been dealed.
363500000 records have been dealed.
364000000 records have been dealed.
364500000 records have been dealed.
365000000 records have been dealed.
365500000 records have been dealed.
366000000 records have been dealed.
366500000 records have been dealed.
367000000 records have been dealed.
367500000 records have been dealed.
368000000 records have been dealed.
368500000 records have been dealed.
369000000 records have been dealed.
369500000 records have been dealed.
370000000 records have been dealed.
370500000 records have been dealed.
371000000 records have been dealed.
371500000 records have been dealed.
372000000 records have been dealed.
372500000 records have been dealed.
373000000 records have been dealed.
373500000 records have been dealed.
374000000 records have been dealed.
374500000 records have been dealed.
375000000 records have been dealed.
375500000 records have been dealed.
376000000 records have been dealed.
376500000 records have been dealed.
377000000 records have been dealed.
Chrome updated to NC_047564.1!
377500000 records have been dealed.
378000000 records have been dealed.
378500000 records have been dealed.
379000000 records have been dealed.
379500000 records have been dealed.
380000000 records have been dealed.
380500000 records have been dealed.
381000000 records have been dealed.
381500000 records have been dealed.
382000000 records have been dealed.
382500000 records have been dealed.
383000000 records have been dealed.
383500000 records have been dealed.
384000000 records have been dealed.
384500000 records have been dealed.
385000000 records have been dealed.
385500000 records have been dealed.
386000000 records have been dealed.
386500000 records have been dealed.
387000000 records have been dealed.
387500000 records have been dealed.
388000000 records have been dealed.
388500000 records have been dealed.
389000000 records have been dealed.
389500000 records have been dealed.
390000000 records have been dealed.
390500000 records have been dealed.
391000000 records have been dealed.
391500000 records have been dealed.
392000000 records have been dealed.
392500000 records have been dealed.
393000000 records have been dealed.
393500000 records have been dealed.
394000000 records have been dealed.
394500000 records have been dealed.
395000000 records have been dealed.
395500000 records have been dealed.
396000000 records have been dealed.
396500000 records have been dealed.
397000000 records have been dealed.
397500000 records have been dealed.
398000000 records have been dealed.
398500000 records have been dealed.
399000000 records have been dealed.
399500000 records have been dealed.
400000000 records have been dealed.
400500000 records have been dealed.
401000000 records have been dealed.
401500000 records have been dealed.
402000000 records have been dealed.
402500000 records have been dealed.
403000000 records have been dealed.
403500000 records have been dealed.
404000000 records have been dealed.
404500000 records have been dealed.
405000000 records have been dealed.
405500000 records have been dealed.
406000000 records have been dealed.
406500000 records have been dealed.
407000000 records have been dealed.
407500000 records have been dealed.
408000000 records have been dealed.
408500000 records have been dealed.
409000000 records have been dealed.
409500000 records have been dealed.
410000000 records have been dealed.
410500000 records have been dealed.
411000000 records have been dealed.
411500000 records have been dealed.
412000000 records have been dealed.
412500000 records have been dealed.
413000000 records have been dealed.
413500000 records have been dealed.
414000000 records have been dealed.
414500000 records have been dealed.
415000000 records have been dealed.
415500000 records have been dealed.
416000000 records have been dealed.
416500000 records have been dealed.
417000000 records have been dealed.
417500000 records have been dealed.
418000000 records have been dealed.
418500000 records have been dealed.
419000000 records have been dealed.
419500000 records have been dealed.
420000000 records have been dealed.
420500000 records have been dealed.
421000000 records have been dealed.
421500000 records have been dealed.
422000000 records have been dealed.
422500000 records have been dealed.
423000000 records have been dealed.
423500000 records have been dealed.
424000000 records have been dealed.
424500000 records have been dealed.
425000000 records have been dealed.
425500000 records have been dealed.
426000000 records have been dealed.
426500000 records have been dealed.
427000000 records have been dealed.
427500000 records have been dealed.
428000000 records have been dealed.
428500000 records have been dealed.
429000000 records have been dealed.
429500000 records have been dealed.
430000000 records have been dealed.
430500000 records have been dealed.
431000000 records have been dealed.
431500000 records have been dealed.
432000000 records have been dealed.
432500000 records have been dealed.
433000000 records have been dealed.
433500000 records have been dealed.
434000000 records have been dealed.
434500000 records have been dealed.
435000000 records have been dealed.
435500000 records have been dealed.
436000000 records have been dealed.
436500000 records have been dealed.
437000000 records have been dealed.
437500000 records have been dealed.
438000000 records have been dealed.
438500000 records have been dealed.
439000000 records have been dealed.
439500000 records have been dealed.
440000000 records have been dealed.
440500000 records have been dealed.
441000000 records have been dealed.
441500000 records have been dealed.
442000000 records have been dealed.
442500000 records have been dealed.
443000000 records have been dealed.
443500000 records have been dealed.
444000000 records have been dealed.
444500000 records have been dealed.
445000000 records have been dealed.
445500000 records have been dealed.
446000000 records have been dealed.
446500000 records have been dealed.
447000000 records have been dealed.
447500000 records have been dealed.
448000000 records have been dealed.
448500000 records have been dealed.
449000000 records have been dealed.
449500000 records have been dealed.
450000000 records have been dealed.
450500000 records have been dealed.
451000000 records have been dealed.
451500000 records have been dealed.
452000000 records have been dealed.
452500000 records have been dealed.
453000000 records have been dealed.
453500000 records have been dealed.
454000000 records have been dealed.
454500000 records have been dealed.
455000000 records have been dealed.
455500000 records have been dealed.
456000000 records have been dealed.
456500000 records have been dealed.
457000000 records have been dealed.
457500000 records have been dealed.
458000000 records have been dealed.
458500000 records have been dealed.
459000000 records have been dealed.
459500000 records have been dealed.
460000000 records have been dealed.
460500000 records have been dealed.
461000000 records have been dealed.
461500000 records have been dealed.
462000000 records have been dealed.
462500000 records have been dealed.
463000000 records have been dealed.
463500000 records have been dealed.
464000000 records have been dealed.
464500000 records have been dealed.
465000000 records have been dealed.
465500000 records have been dealed.
466000000 records have been dealed.
466500000 records have been dealed.
467000000 records have been dealed.
467500000 records have been dealed.
468000000 records have been dealed.
468500000 records have been dealed.
469000000 records have been dealed.
469500000 records have been dealed.
470000000 records have been dealed.
470500000 records have been dealed.
471000000 records have been dealed.
471500000 records have been dealed.
472000000 records have been dealed.
472500000 records have been dealed.
473000000 records have been dealed.
473500000 records have been dealed.
474000000 records have been dealed.
474500000 records have been dealed.
475000000 records have been dealed.
475500000 records have been dealed.
476000000 records have been dealed.
476500000 records have been dealed.
477000000 records have been dealed.
477500000 records have been dealed.
478000000 records have been dealed.
478500000 records have been dealed.
479000000 records have been dealed.
479500000 records have been dealed.
480000000 records have been dealed.
480500000 records have been dealed.
481000000 records have been dealed.
481500000 records have been dealed.
482000000 records have been dealed.
Chrome updated to NC_047565.1!
482500000 records have been dealed.
483000000 records have been dealed.
483500000 records have been dealed.
484000000 records have been dealed.
484500000 records have been dealed.
485000000 records have been dealed.
485500000 records have been dealed.
486000000 records have been dealed.
486500000 records have been dealed.
487000000 records have been dealed.
487500000 records have been dealed.
488000000 records have been dealed.
488500000 records have been dealed.
489000000 records have been dealed.
489500000 records have been dealed.
490000000 records have been dealed.
490500000 records have been dealed.
491000000 records have been dealed.
491500000 records have been dealed.
492000000 records have been dealed.
492500000 records have been dealed.
493000000 records have been dealed.
493500000 records have been dealed.
494000000 records have been dealed.
494500000 records have been dealed.
495000000 records have been dealed.
495500000 records have been dealed.
496000000 records have been dealed.
496500000 records have been dealed.
497000000 records have been dealed.
497500000 records have been dealed.
498000000 records have been dealed.
498500000 records have been dealed.
499000000 records have been dealed.
499500000 records have been dealed.
500000000 records have been dealed.
500500000 records have been dealed.
501000000 records have been dealed.
501500000 records have been dealed.
502000000 records have been dealed.
502500000 records have been dealed.
503000000 records have been dealed.
503500000 records have been dealed.
504000000 records have been dealed.
504500000 records have been dealed.
505000000 records have been dealed.
505500000 records have been dealed.
506000000 records have been dealed.
506500000 records have been dealed.
507000000 records have been dealed.
507500000 records have been dealed.
508000000 records have been dealed.
508500000 records have been dealed.
509000000 records have been dealed.
509500000 records have been dealed.
510000000 records have been dealed.
510500000 records have been dealed.
511000000 records have been dealed.
511500000 records have been dealed.
512000000 records have been dealed.
512500000 records have been dealed.
513000000 records have been dealed.
513500000 records have been dealed.
514000000 records have been dealed.
514500000 records have been dealed.
515000000 records have been dealed.
515500000 records have been dealed.
516000000 records have been dealed.
516500000 records have been dealed.
517000000 records have been dealed.
517500000 records have been dealed.
518000000 records have been dealed.
518500000 records have been dealed.
519000000 records have been dealed.
519500000 records have been dealed.
520000000 records have been dealed.
520500000 records have been dealed.
521000000 records have been dealed.
521500000 records have been dealed.
522000000 records have been dealed.
522500000 records have been dealed.
523000000 records have been dealed.
523500000 records have been dealed.
524000000 records have been dealed.
524500000 records have been dealed.
525000000 records have been dealed.
525500000 records have been dealed.
526000000 records have been dealed.
526500000 records have been dealed.
527000000 records have been dealed.
527500000 records have been dealed.
528000000 records have been dealed.
528500000 records have been dealed.
529000000 records have been dealed.
529500000 records have been dealed.
530000000 records have been dealed.
530500000 records have been dealed.
531000000 records have been dealed.
531500000 records have been dealed.
532000000 records have been dealed.
532500000 records have been dealed.
533000000 records have been dealed.
533500000 records have been dealed.
534000000 records have been dealed.
534500000 records have been dealed.
535000000 records have been dealed.
535500000 records have been dealed.
536000000 records have been dealed.
536500000 records have been dealed.
537000000 records have been dealed.
537500000 records have been dealed.
538000000 records have been dealed.
538500000 records have been dealed.
539000000 records have been dealed.
