Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3644_2_R2_val_2	0.6366621891492483					
zr3644_2_R2_val_2_val_2		19.366526970819834	18.0	106.12945919726958	27.27272727272727	55636387.0
zr3644_3_R1_val_1	0.588476766872124					
zr3644_3_R1_val_1_val_1		16.03135332718942	18.0	105.31648274840836	18.181818181818183	39424942.0
zr3644_3_R2_val_2	0.6298392440554259					
zr3644_3_R2_val_2_val_2		15.88250982535206	18.0	105.27283986873081	27.27272727272727	39424942.0
zr3644_4_R1_val_1	0.6149878452339917					
zr3644_4_R1_val_1_val_1		17.085079812821505	18.0	105.1887500623904	18.181818181818183	49987655.0
zr3644_4_R2_val_2	0.6080024044203982					
zr3644_4_R2_val_2_val_2		17.80362089689075	18.0	105.17768829123911	27.27272727272727	49987655.0
zr3644_5_R1_val_1	0.6423208803039794					
zr3644_5_R1_val_1_val_1		15.937709520860082	18.0	105.42524005677353	18.181818181818183	44671516.0
zr3644_5_R2_val_2	0.6065396991718346					
zr3644_5_R2_val_2_val_2		17.05627770667803	18.0	105.48451769579523	27.27272727272727	44671516.0
zr3644_6_R1_val_1	0.5894376565207627					
zr3644_6_R1_val_1_val_1		17.324909843736762	18.0	105.20568251259408	18.181818181818183	54004139.0
zr3644_6_R2_val_2	0.6201604068611274					
zr3644_6_R2_val_2_val_2		18.36779204790689	19.0	105.17868698915836	27.27272727272727	54004139.0
zr3644_7_R1_val_1	0.5826985115356331					
zr3644_7_R1_val_1_val_1		18.896154451232647	18.0	105.54098304399979	18.181818181818183	82527069.0
zr3644_7_R2_val_2	0.6465081776029666					
zr3644_7_R2_val_2_val_2		19.16492211948983	18.0	105.45247986451572	27.27272727272727	82527069.0
zr3644_8_R1_val_1	0.5878805466758064					
zr3644_8_R1_val_1_val_1		16.80246973357484	18.0	104.9183634715354	18.181818181818183	42918508.0
zr3644_8_R2_val_2	0.6435524173746312					
zr3644_8_R2_val_2_val_2		16.640407445019562	19.0	104.85047369307432	27.27272727272727	42918508.0
zr3644_9_R1_val_1	0.5919612224299211					
zr3644_9_R1_val_1_val_1		18.902308180746303	19.0	102.7692351581902	18.181818181818183	48723657.0
zr3644_9_R2_val_2	0.6423896248952607					
zr3644_9_R2_val_2_val_2		18.849463244280344	20.0	102.71505314143394	27.27272727272727	48723657.0
