Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
zr3644_23_R1_val_1_val_1	zr3644_23_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40515907.0	0.0	20-115	18.0	83.76931332662348	104.48514890707001	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
zr3644_23_R2_val_2_val_2	zr3644_23_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40515907.0	0.0	20-115	19.0	82.99655449293954	104.42831236630097	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_24_R1_val_1_val_1	zr3644_24_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52894890.0	0.0	20-115	18.0	82.4561918060973	105.17356470539971	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
zr3644_24_R2_val_2_val_2	zr3644_24_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52894890.0	0.0	20-115	18.0	81.51727926348478	105.1427626751847	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_2_R1_val_1_val_1	zr3644_2_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55636387.0	0.0	20-115	18.0	80.30338205590425	106.23301351326066	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_2_R2_val_2_val_2	zr3644_2_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55636387.0	0.0	20-115	18.0	80.63347302918017	106.12945919726958	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_3_R1_val_1_val_1	zr3644_3_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39424942.0	0.0	20-115	18.0	83.96864667281058	105.31648274840836	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_3_R2_val_2_val_2	zr3644_3_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39424942.0	0.0	20-115	18.0	84.11749017464794	105.27283986873081	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_4_R1_val_1_val_1	zr3644_4_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49987655.0	0.0	20-115	18.0	82.9149201871785	105.1887500623904	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_4_R2_val_2_val_2	zr3644_4_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49987655.0	0.0	20-115	18.0	82.19637910310925	105.17768829123911	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_5_R1_val_1_val_1	zr3644_5_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44671516.0	0.0	20-115	18.0	84.06229047913992	105.42524005677353	pass	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_5_R2_val_2_val_2	zr3644_5_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44671516.0	0.0	20-115	18.0	82.94372229332197	105.48451769579523	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_6_R1_val_1_val_1	zr3644_6_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54004139.0	0.0	20-115	18.0	82.67509015626324	105.20568251259408	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
zr3644_6_R2_val_2_val_2	zr3644_6_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54004139.0	0.0	20-115	19.0	81.63220795209311	105.17868698915836	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_7_R1_val_1_val_1	zr3644_7_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82527069.0	0.0	20-115	18.0	81.10384554876735	105.54098304399979	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
zr3644_7_R2_val_2_val_2	zr3644_7_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82527069.0	0.0	20-115	18.0	80.83507788051017	105.45247986451572	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_8_R1_val_1_val_1	zr3644_8_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42918508.0	0.0	20-115	18.0	83.19753026642516	104.9183634715354	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_8_R2_val_2_val_2	zr3644_8_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42918508.0	0.0	20-115	19.0	83.35959255498044	104.85047369307432	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
zr3644_9_R1_val_1_val_1	zr3644_9_R1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48723657.0	0.0	20-115	19.0	81.0976918192537	102.7692351581902	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
zr3644_9_R2_val_2_val_2	zr3644_9_R2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48723657.0	0.0	20-115	20.0	81.15053675571966	102.71505314143394	pass	pass	warn	pass	fail	fail	pass	warn	pass	fail	pass
