Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
zr3644_23_R1_val_1	zr3644_23_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40539021.0	0.0	20-115	18.0	83.74031685361682	105.06931862020052	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
zr3644_23_R2_val_2	zr3644_23_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40539021.0	0.0	20-115	19.0	82.97754477803517	105.04906184093592	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_24_R1_val_1	zr3644_24_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52922544.0	0.0	20-115	18.0	82.42627083449473	105.77114157626285	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
zr3644_24_R2_val_2	zr3644_24_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52922544.0	0.0	20-115	18.0	81.48524098655325	105.76369049832525	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_2_R1_val_1	zr3644_2_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55664369.0	0.0	20-115	18.0	80.2771975184115	106.82682841513932	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_2_R2_val_2	zr3644_2_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55664369.0	0.0	20-115	18.0	80.61318293904979	106.77371954041193	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_3_R1_val_1	zr3644_3_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39446621.0	0.0	20-115	18.0	83.94659435170624	105.91236303864912	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_3_R2_val_2	zr3644_3_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39446621.0	0.0	20-115	18.0	84.10226464071012	105.90020894311834	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_4_R1_val_1	zr3644_4_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50012460.0	0.0	20-115	18.0	82.88551481099093	105.81259274188872	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_4_R2_val_2	zr3644_4_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50012460.0	0.0	20-115	18.0	82.16423462828668	105.78734295413582	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_5_R1_val_1	zr3644_5_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44694095.0	0.0	20-115	18.0	84.03806960971801	106.07922129310371	pass	pass	warn	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_5_R2_val_2	zr3644_5_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44694095.0	0.0	20-115	18.0	82.92297980710941	106.09307990238979	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_6_R1_val_1	zr3644_6_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54032664.0	0.0	20-115	18.0	82.65451232436767	105.80153756623956	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
zr3644_6_R2_val_2	zr3644_6_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54032664.0	0.0	20-115	19.0	81.59802893012107	105.79791046393714	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_7_R1_val_1	zr3644_7_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82575967.0	0.0	20-115	18.0	81.0617351543523	106.13234753884262	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
zr3644_7_R2_val_2	zr3644_7_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82575967.0	0.0	20-115	18.0	80.80686901332487	106.09587750876717	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_8_R1_val_1	zr3644_8_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42944059.0	0.0	20-115	18.0	83.17213313469009	105.5093570917458	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_8_R2_val_2	zr3644_8_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42944059.0	0.0	20-115	19.0	83.3418440675915	105.48728470217499	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
zr3644_9_R1_val_1	zr3644_9_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48759846.0	0.0	20-115	19.0	81.07027374232418	103.34075247079328	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
zr3644_9_R2_val_2	zr3644_9_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48759846.0	0.0	20-115	20.0	81.11171094258953	103.32738237114202	pass	pass	warn	pass	pass	fail	pass	warn	pass	fail	pass
