,Protein.Name,Sample,Replicate1,Replicate2,CoV
38,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4,O01,0.002654403,0.002271569,10.99089998
39,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5,O01,0.005815855,0.006242178,5.000086174
40,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6,O01,0.01097274,0.01165082,4.23872023
41,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4,O01,0.001470187,0.001238384,12.10303472
42,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5,O01,0.0103974,0.00906904,9.650381004
43,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6,O01,0.023615152,0.021056885,8.098882573
44,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7,O01,0.008468946,0.008379157,0.753682135
45,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8,O01,0.073161499,0.072157002,0.977557946
46,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9,O01,0.063106511,0.062038665,1.206727696
47,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y4,O01,0.030931218,0.032470867,3.434259478
48,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y5,O01,0.058983841,0.062502482,4.096025514
49,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6,O01,0.027655667,0.027513981,0.363197022
50,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y6,O01,0.010891124,0.010646604,1.605570292
51,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y7,O01,0.012135948,0.011986089,0.878587955
52,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y8,O01,0.02057555,0.020034731,1.883351939
53,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5,O01,0.000585831,0.000469415,15.60189001
54,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8,O01,0.001202225,0.001339977,7.663059339
55,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9,O01,0.001447775,0.001426979,1.023055953
56,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4,O01,0.00095541,0.000930703,1.852558834
57,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y5,O01,0.000763489,0.000995925,18.68312272
58,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y9,O01,0.001824567,0.001532857,12.28738727
59,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y10,O01,0.009400867,0.011055972,11.44200505
60,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y7,O01,0.009112248,0.010241663,8.252767779
61,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y9,O01,0.005803349,0.006486604,7.862266485
62,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y4,O01,0.002708712,0.003139766,10.42326306
63,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y5,O01,0.008286979,0.009325199,8.336646408
64,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y6,O01,0.003242529,0.003717518,9.651298301
65,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y3,O01,0.000793817,0.000892155,8.248646009
66,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y4,O01,0.015986417,0.018857471,11.65278502
67,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y5,O01,0.0147074,0.01663918,8.715302299
68,CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y4,O01,0.004815621,0.00466007,2.32153433
69,CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y6,O01,0.003673232,0.003870398,3.696300361
70,CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y7,O01,0.005781967,0.005772576,0.11494199
71,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y4,O01,0.003891452,0.003919883,0.514731269
72,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y5,O01,0.004716112,0.004923794,3.046772266
73,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y6,O01,0.012062389,0.012156768,0.551103473
74,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y5,O01,0.006623185,0.00580281,9.3367574
75,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y7,O01,0.024635621,0.025154871,1.474842271
76,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y8,O01,0.022241124,0.023407658,3.613958718
77,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y7,O01,0.00514452,0.004396276,11.09106789
78,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y8,O01,0.010602248,0.010782061,1.189159218
79,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y9,O01,0.002648009,0.002659133,0.296428499
81,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y7,O01,0.004356183,0.004491569,2.163999535
82,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y8,O01,0.002647541,0.002752436,2.747111639
83,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y6,O01,0.003058923,0.003139344,1.834920002
84,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y8,O01,0.002873583,0.002907775,0.836392427
85,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y9,O01,0.00168815,0.00207363,14.49184154
86,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y7,O01,0.00147178,0.001386089,4.240404016
87,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y8,O01,0.004168173,0.004187752,0.331359071
88,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y9,O01,0.025626089,0.026327354,1.908897487
89,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y4,O01,0.00064623,0.000663677,1.883662782
90,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y5,O01,0.001778595,0.001981429,7.628947241
91,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y6,O01,0.003068173,0.003037681,0.706238899
92,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y6,O01,0.002568993,0.002640796,1.949122433
93,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y7,O01,0.000763208,0.000881077,10.13763778
94,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y8,O01,0.001298454,0.001156956,8.149741854
95,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y6,O01,0.006209415,0.007290141,11.32168694
96,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y7,O01,0.015566393,0.018239906,11.18406392
98,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y3,O01,0.008918407,0.008711616,1.658803478
99,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y6,O01,0.092766511,0.093324684,0.424187859
100,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y7,O01,0.040572623,0.041561546,1.702760181
101,CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y5,O01,0.039514075,0.03982555,0.555198928
102,CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y6,O01,0.070142389,0.070753044,0.612935144
103,CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y7,O01,0.034148571,0.036426674,4.56494934
104,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y7,O01,0.011652342,0.011849555,1.186718936
105,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y8,O01,0.035941663,0.034713185,2.458896951
106,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y9,O01,0.019733841,0.018596534,4.196136097
107,CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y4,O01,0.016015597,0.016100515,0.373931415
108,CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y5,O01,0.028573326,0.028396651,0.438573879
109,CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y6,O01,0.049839696,0.047880117,2.835926873
110,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y5,O01,0.015683326,0.01537082,1.423159502
111,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y6,O01,0.024068571,0.024556347,1.418651787
112,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y7,O01,0.021016042,0.022028993,3.327976811
113,CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y3,O01,0.001223888,0.001183817,2.353606596
114,CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y6,O01,0.00455541,0.004995644,6.518497056
115,CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y7,O01,0.029575644,0.033050258,7.846347158
116,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y4,O01,0.000758337,0.000706042,5.050358849
117,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y7,O01,0.017468337,0.01670466,3.16039617
118,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y8,O01,0.002196838,0.002176136,0.669518326
119,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y4,O01,0.004827518,0.005252178,5.958121697
120,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y6,O01,0.008937588,0.009262108,2.521693022
121,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y7,O01,0.009444426,0.009364754,0.599034123
122, ELGLNNDITNMNGGAIALGHPLAASGTR y10,O04,0.000315493,0.000336224,4.498550232
123, ELGLNNDITNMNGGAIALGHPLAASGTR y12,O04,0.000237324,0.000271772,9.569184603
124, ELGLNNDITNMNGGAIALGHPLAASGTR y8,O04,0.000494906,0.000605641,14.22954319
125, ITGHLAHELQR y5,O04,0.000405775,0.00042359,3.03779017
126, ITGHLAHELQR y6,O04,0.000927183,0.00113338,14.15178188
127, ITGHLAHELQR y7,O04,0.000767347,0.000860932,8.128157753
128, QYNLTPLAR y4,O04,0.003536197,0.004439604,16.01857675
129, QYNLTPLAR y5,O04,0.003547934,0.004149697,11.05562141
130, QYNLTPLAR y6,O04,0.001565376,0.001763147,8.402851778
131,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4,O04,0.009642535,0.012153636,16.29292233
132,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y5,O04,0.006937089,0.008101841,10.95296281
133,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y6,O04,0.025665258,0.028936131,8.471784513
137,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y11,O04,0.000400235,0.000470606,11.42804439
139,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9,O04,0.001129812,0.001465361,18.28540882
140,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y6,O04,0.000904789,0.001075315,12.17916767
143,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5,O04,0.000478099,0.000571678,12.60665212
144,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7,O04,0.001835751,0.002142401,10.90124852
145,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9,O04,0.001198286,0.001485664,15.14237174
146,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5,O04,0.000493944,0.000443893,7.54744026
147,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7,O04,0.001750446,0.001792238,1.668296339
148,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8,O04,0.000447066,0.000483869,5.59097382
149,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4,O04,0.002005376,0.002587389,17.92148475
150,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5,O04,0.005234648,0.006768462,18.07148457
151,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6,O04,0.009169906,0.011224056,14.2444443
152,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4,O04,0.001071479,0.001213077,8.765374994
153,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5,O04,0.008204953,0.008514312,2.616742488
154,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6,O04,0.018093498,0.019049301,3.639223999
155,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7,O04,0.004572277,0.005322448,10.72188893
156,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8,O04,0.041784624,0.04752641,9.091946412
157,CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9,O04,0.036026526,0.04128014,9.610726526
158,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y4,O04,0.015794765,0.016449907,2.873373922
159,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y5,O04,0.028390376,0.030879744,5.939751835
160,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6,O04,0.013317817,0.014281655,4.938764523
161,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y6,O04,0.005268427,0.005989161,9.05408191
162,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y7,O04,0.005651291,0.005646247,0.063140164
163,CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y8,O04,0.009349413,0.009801235,3.336561692
164,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5,O04,0.000364671,0.000389464,4.649285641
165,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8,O04,0.001153709,0.00100007,10.08823833
166,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9,O04,0.001373146,0.00127021,5.507134497
167,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4,O04,0.000605282,0.000777343,17.59920935
169,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y9,O04,0.00123277,0.001534079,15.40075617
170,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y10,O04,0.00931838,0.009574825,1.919567575
171,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y7,O04,0.008004014,0.009414149,11.44915312
172,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y9,O04,0.005405094,0.006030839,7.738218077
173,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y4,O04,0.00250892,0.002368205,4.080295929
174,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y5,O04,0.006512629,0.007515245,10.1078229
175,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y6,O04,0.002664202,0.002825012,4.143022791
182,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y4,O04,0.00444,0.004745548,4.704235745
183,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y5,O04,0.005055329,0.005755082,9.154140194
184,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y6,O04,0.0131127,0.015035128,9.658737185
185,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y5,O04,0.004147089,0.005197436,15.89609452
186,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y7,O04,0.015766667,0.019524988,15.06041439
187,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y8,O04,0.014356244,0.018053846,16.13447813
191,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y5,O04,0.000928427,0.001041958,8.148498481
192,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y7,O04,0.003176268,0.002904522,6.320003362
193,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y8,O04,0.001986127,0.001607273,14.91012936
194,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y6,O04,0.001626103,0.002089417,17.63480739
195,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y8,O04,0.001685869,0.001961632,10.69192516
196,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y9,O04,0.000997606,0.001259441,16.40597805
198,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y8,O04,0.002270047,0.002846667,15.93724971
199,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y9,O04,0.016023685,0.019748555,14.72583404
200,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y4,O04,0.000578732,0.00062049,4.924316318
201,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y5,O04,0.002327113,0.00200028,10.68106509
202,CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y6,O04,0.00285662,0.002756084,2.533165909
204,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y7,O04,0.000874178,0.001126061,17.80863311
206,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y6,O04,0.021485493,0.025355012,11.68289255
207,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y7,O04,0.057773192,0.065474615,8.837038887
208,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y8,O04,0.023499671,0.027561375,11.2495085
209,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y3,O04,0.004025587,0.00524021,18.53846242
210,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y6,O04,0.045204507,0.055989184,15.0719244
211,CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y7,O04,0.020291315,0.024660746,13.7464424
215,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y7,O04,0.011466995,0.012890816,8.266696515
216,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y8,O04,0.033711056,0.038189394,8.808464687
217,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y9,O04,0.017992371,0.021046177,11.06274298
221,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y5,O04,0.007479413,0.008472378,8.803173578
222,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y6,O04,0.012132535,0.013882611,9.513613837
223,CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y7,O04,0.011025728,0.012911469,11.14098842
225,CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y6,O04,0.002421033,0.002908718,12.940396
226,CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y7,O04,0.015596948,0.019800256,16.79334652
227,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y4,O04,0.000648709,0.00069373,4.74277668
228,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y7,O04,0.014385681,0.014621119,1.147868088
229,CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y8,O04,0.001488404,0.001937226,18.52887445
230,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y4,O04,0.004005211,0.004872564,13.81677381
231,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y6,O04,0.007123592,0.009228508,18.20439986
232,CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y7,O04,0.007393803,0.009058019,14.30575091
235, ELGLNNDITNMNGGAIALGHPLAASGTR y8,O06,0.000835117,0.001078205,17.96763889
237, ITGHLAHELQR y6,O06,0.000900374,0.000812751,7.233449369
240, QYNLTPLAR y5,O06,0.001726308,0.001952821,8.706856779
241, QYNLTPLAR y6,O06,0.000781379,0.001038578,19.9859239
242,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4,O06,0.0083275,0.010055105,13.2908382
245,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y4,O06,0.003915514,0.005112867,18.75544447
246,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y5,O06,0.008351682,0.010878205,18.58067528
247,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y6,O06,0.017526098,0.022479091,17.5092025
250,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9,O06,0.000832126,0.001016364,14.095351
251,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y6,O06,0.001034346,0.001220909,11.69891465
253,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y8,O06,0.001545467,0.002022821,18.9188608
254,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5,O06,0.000404977,0.000514709,16.8736495
255,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7,O06,0.002072103,0.002345478,8.751638863
256,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9,O06,0.001365794,0.001361608,0.217052622
258,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7,O06,0.002479182,0.00279049,8.354504424
264,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5,O06,0.011560678,0.015118438,18.85907094
265,CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6,O06,0.02570507,0.032892494,17.34637393
271,CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6,O06,0.011836192,0.015469837,18.81910581
275,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5,O06,0.000860491,0.000680839,16.48353104
276,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8,O06,0.002233949,0.001838788,13.72152733
277,CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9,O06,0.002755,0.002543753,5.638090684
278,CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4,O06,0.000757593,0.000911678,13.05412975
281,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y10,O06,0.010229977,0.01311289,17.46595991
282,CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y7,O06,0.009658972,0.011527692,12.47374114
285,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y5,O06,0.003912383,0.004684242,12.697701
286,CHOYP_G6PD.2.2|m.46923 SDELYEAWR y6,O06,0.001688621,0.001737506,2.017814256
287,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y3,O06,0.00047972,0.000529394,6.961564076
288,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y4,O06,0.008398318,0.010864382,18.10515604
289,CHOYP_G6PD.2.2|m.46923 TYFIGYAR y5,O06,0.007610981,0.009369114,14.64288233
291,CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y6,O06,0.004455234,0.005581655,15.87145607
292,CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y7,O06,0.006933925,0.009050956,18.72978112
293,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y4,O06,0.004028925,0.005303566,19.31547261
294,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y5,O06,0.004715607,0.005942354,16.2778029
295,CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y6,O06,0.012036799,0.01551352,17.84671044
298,CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y8,O06,0.017005047,0.022171608,18.6504477
299,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y7,O06,0.003819276,0.004480536,11.26728517
300,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y8,O06,0.008468621,0.010622238,15.95356863
301,CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y9,O06,0.002000444,0.002323986,10.58076131
302,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y5,O06,0.000850491,0.000946737,7.573461685
303,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y7,O06,0.00212743,0.002599254,14.11687657
304,CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y8,O06,0.001326846,0.001557203,11.29571806
305,CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y6,O06,0.001446098,0.001756946,13.72462409
309,CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y8,O06,0.002551659,0.003037436,12.2916586
315,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y7,O06,0.000758364,0.000651026,10.77061967
316,CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y8,O06,0.000780701,0.001031795,19.59179437
317,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y6,O06,0.013920701,0.013511562,2.109232328
318,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y7,O06,0.034958575,0.034155851,1.642526995
319,CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y8,O06,0.01476271,0.013929767,4.105465757
327,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y8,O06,0.02484028,0.032299837,18.46234559
328,CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y9,O06,0.014271846,0.017015758,12.40260307
