"","O01","O04","O06","O10","O100","O101","O102","O103","O106","O118","O121","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O51","O52","O56","O64","O71","O78","O90","O91","O96","O99"
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7",0.0043302575,0.001989076,0.0022087905,0.002998587,0,0.003254894,0,0,0.002472508,0.004766286,0.004479985,0,0,0.004378839,0.003034397,0,0.0064610765,0,0.0034031315,0.0014044895,0.0008965235,0.003507561,0,0.0020970875,0.003193577,0.0025671365,0,0.0029708165,0.0017958775,0.0014864735,0.002119386,0.002365998,0,0.002487787,0.002414487,0,0,0.000747879,0.00396573,0.001449125,0.00243347
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9",0.0030044495,0.001341975,0.001363701,0.0017674025,0.0007147865,0.0020982185,0.001878367,0,0.001707819,0.0029606855,0.002799847,0.0030223515,0,0.002976992,0.0019895575,0,0.0038468395,0,0.00230406,0,0,0.0022907875,0,0.0015231955,0.002058041,0.001538336,0.001485499,0.001955888,0.0010975125,0,0.0013859345,0.0014118625,0,0.0015969715,0,0,0.002647445,0.000521865,0.002487633,0.0009687025,0.001495693
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5",0.0018052225,0.0004689185,0,0.000988466,0.000994832,0.0010519615,0.0009617155,0.0013526435,0.0006917925,0.001437337,0.0015808825,0.0014241005,0,0.0008853715,0,0,0.002456839,0.001454008,0.0011329105,0.000803459,0.000500308,0.0012170685,0,0.0009559145,0,0.000649654,0,0,0,0,0.0007575235,0.0005815585,0,0.0005877715,0.0009199465,0,0.0009544275,0,0.0010059385,0.0006567345,0.000894304
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7",0.0055174475,0.001771342,0.002634836,0.00295829,0,0,0.0027922255,0.0035306855,0.002783199,0.004051771,0.005299735,0.00510452,0,0.0034471535,0,0,0.0075877215,0.0049185335,0.002969639,0.0023866985,0,0.0041598205,0,0.00228513,0,0.0019626145,0.002014129,0,0,0,0.0021219365,0.0018947755,0,0.001567534,0.0029955245,0,0.0027569365,0.000834569,0.002467887,0.001590839,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8",0.0018439345,0.0004654675,0,0.000924948,0,0.0011971705,0.0011305385,0,0.00074112,0.0015486215,0.0015654935,0.0018418635,0,0,0.0013757985,0,0.0025115815,0.0018038635,0.001126934,0.0008901095,0,0.0016026,0.0008045965,0.0009400355,0,0.0009195545,0.0009226745,0,0.000580976,0,0,0,0.0002176175,0.000745192,0.001075761,0,0.0012318795,0.0003576805,0.0010854875,0.0006933615,0.001067007
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4",0.002462986,0.0022963825,0,0.0018895355,0,0.001900092,0.0020189495,0,0.0017073965,0.002155149,0,0,0,0.0021172545,0.0019857955,0,0.003417727,0,0.002062666,0.0014557215,0,0.002531383,0.0016640025,0.001411943,0,0.0016326715,0.0018299895,0.0010955395,0.0013922275,0.001458014,0.0014360015,0.0013619515,0,0.0012070495,0.0019999055,0,0.002085416,0.00085183,0,0.001525321,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5",0.0060290165,0.006001555,0,0.0047270095,0,0.004397873,0,0.0046431345,0.004007499,0.005081778,0.0070883655,0.00598137,0,0.0057949455,0.004943306,0,0.0078976485,0,0.004274717,0.0034183465,0,0.006280003,0.0044777635,0.0036235365,0.0050461685,0.0030039335,0.0043948035,0.0023994655,0.0031899145,0,0,0.003168511,0.0027443025,0.0028592865,0.0039508735,0.0044133885,0,0.001827972,0,0,0.005101884
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6",0.01131178,0.010196981,0,0.008505593,0,0.00826155,0,0,0.008021094,0.0095154305,0.0124679805,0.0105157365,0,0.010649919,0.0086820695,0,0.0141785645,0,0.008204939,0.0061402055,0,0.0110801105,0.0080518095,0.0068089395,0.0097153605,0.006224638,0.0078842365,0,0.006106637,0.0061763835,0,0.005826563,0,0.0055085525,0.0073664675,0,0.009034936,0.0035166435,0,0.006226534,0.008487163
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4",0.0013542855,0.001142278,0,0.001778447,0.0010510515,0.0018689975,0.0013382205,0.0031863755,0.00196485,0.0013032565,0.00309889,0.0017414805,0,0.001485834,0.001596933,0,0.003636284,0.002550957,0.0022177175,0.0014893155,0.002808153,0.0026617055,0.002798954,0.001741026,0.0035340855,0.000984893,0.0031549545,0.00153525,0.003174791,0.0015012755,0.002065567,0.0015699135,0,0.0017746505,0.002301675,0.002963513,0.0031225215,0.0009006645,0.002008945,0.000981818,0.0048961675
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5",0.00973322,0.0083596325,0.013339558,0.012815827,0.0064183125,0.0117503695,0.01059488,0.0212043425,0.0155095985,0.008882577,0.023254459,0.0131249865,0.021287714,0.0094722255,0.011852078,0.0191528415,0.0231480905,0.018490208,0.016704936,0.011447052,0.019930794,0.0187392355,0.0216974095,0.013321498,0.025197885,0.0059479285,0.020711715,0.0111388315,0.0227786415,0.010432326,0.013967065,0.0117285305,0.010229452,0.0153000275,0.018151629,0.0220094175,0.0215318605,0.00531021,0.015419149,0.007265265,0
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6",0.0223360185,0.0185713995,0.029298782,0.0285890535,0.014142858,0.0270056455,0.0230623805,0.0451985495,0.0334406925,0.0187359805,0.048496732,0.0275130325,0.044326799,0.0208803435,0.0259348475,0.042192344,0.049765287,0.037900527,0.035246149,0.02509577,0.0428867195,0.0385752145,0.046086646,0.0282211075,0.0530692145,0.013577634,0.045868611,0.023780878,0.0488059285,0.0227306745,0.029334473,0.02480666,0.0223637475,0.0343828045,0.0392078165,0.0454771065,0.045784918,0.011979557,0.0304415985,0.0162666945,0.066322926
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7",0.0084240515,0.0049473625,0,0.005809491,0.00649329,0.008385427,0.005599326,0,0.0072945355,0.0095185745,0.0132667415,0.01006828,0,0.005591366,0.007463951,0,0.0172883445,0,0.012964109,0.0059358495,0.0085569965,0.008087102,0.010543584,0.00892082,0.0135416075,0.004517268,0.012637057,0.0083750255,0.009690384,0.004803403,0,0.007947436,0,0.0086194805,0.011107204,0,0.0134030165,0.0035014805,0.005524238,0.00360154,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8",0.0726592505,0.044655517,0,0.055027804,0.060995772,0.0741666925,0.047866647,0,0.064048304,0.083178149,0.1153321655,0.086182484,0,0.0486600985,0.0686825585,0,0.156514923,0.091041963,0.114171221,0.055550878,0.0769921,0.074370737,0.0945697225,0.080282262,0.125075431,0.042683382,0.110212894,0.0785506805,0.0887999265,0.0432198275,0,0.0744330305,0,0.0767591325,0.100481015,0,0.122300086,0.0329937415,0.051944629,0.03096837,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9",0.062572588,0.038653333,0,0.0485337685,0.0531001525,0.0634411815,0.042752137,0,0.0563198905,0.072468819,0.097751674,0.073457647,0,0.0431952385,0.059223694,0,0.13005524,0.0789592795,0.097740929,0.048915565,0.066524836,0.0653584785,0.0817706655,0.069338933,0.1066216375,0.0383338995,0.0951118105,0.069119183,0.076739471,0.0392007605,0.0766064105,0.064859801,0,0.0660807175,0.0870155815,0,0.104577523,0.0291709675,0.0456363385,0.0277445925,0.091200153
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y4",0.0317010425,0.016122336,0,0.020893394,0.0177583315,0.0286256165,0.0186066815,0,0.021670935,0.0334035645,0.0454123675,0.0380857905,0,0.021869593,0.025406988,0,0.05921813,0,0.041821235,0.0236827145,0.0288979995,0.0299775225,0.0341502655,0.0313607375,0.0476483395,0.0190108965,0.040686725,0,0.0320098985,0.017449072,0.0388621005,0.026978778,0,0.0283393425,0.0401517885,0,0.043856044,0.014497459,0.022856786,0.0132457485,0.038242255
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y5",0.0607431615,0.02963506,0,0.0393356055,0.034744518,0.051926444,0.0350897045,0,0.0402908785,0.061708808,0.084812816,0.070371565,0,0.0422114645,0.0477954595,0,0.1054636055,0,0.0762038115,0.0425650625,0.0528601695,0.055437473,0.067524917,0.0596888655,0.0876027605,0.0372710205,0.077243048,0,0.061630375,0.033796485,0.072345444,0.049350866,0,0.052702666,0.0756181205,0,0.08142452,0.027681678,0.0427567705,0.0253497675,0.0714321325
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6",0.027584824,0.013799736,0.0136530145,0.0157038475,0.013132366,0.021811387,0.01484588,0,0.018661518,0.0260072595,0.0313782625,0.03453014,0,0.019870553,0.0221150515,0,0.043926314,0,0.032539538,0.0194861805,0.0217392985,0.0226842425,0.0242772185,0.0277641745,0.028857136,0.0173954175,0.0267468985,0,0.025802651,0.018463747,0.029110702,0.0198616985,0,0.0209095975,0.032335562,0,0.0313499155,0.0155635315,0.01845006,0.012172031,0.0265548025
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y6",0.010768864,0.005628794,0,0.005614358,0,0,0.0110173215,0,0.005319606,0.01110727,0.0159334525,0.0123770095,0,0.006713908,0,0,0.02224775,0,0.0109812605,0.0051203025,0.00571849,0.014030958,0.0089279485,0.0076213365,0.009352512,0.004245458,0.0070811965,0,0.0068222225,0.0068430545,0,0.0054511025,0,0.006034417,0,0,0,0.0031010605,0.0129464065,0.0065417115,0.006304485
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y7",0.0120610185,0.005648769,0,0.0063789185,0.0080198495,0,0.011691421,0,0.0060013625,0.0117260985,0.0160116415,0.0137225755,0,0.006818353,0.0133543745,0,0.022782866,0,0.012042968,0.0058890635,0.005941543,0.0150385525,0.0092385,0.008000118,0,0.004602235,0,0.005687865,0.0070385175,0.0073152845,0,0.0056878745,0,0.0064803195,0,0,0.012149469,0.003288065,0.01347688,0.007212633,0.006785349
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y8",0.0203051405,0.009575324,0,0.0100495095,0.013621495,0,0.0197116595,0,0.0104103805,0,0.0269873075,0.0235842855,0,0.0116064015,0.0230592585,0,0.037967162,0,0.020359444,0.009711207,0.0105541925,0.024493505,0.0166088925,0.01385327,0.016581801,0.00763107,0.013172948,0,0,0,0.0142376735,0.0098118255,0,0.010704458,0,0,0.0199116615,0.0054718995,0.023316778,0.01232698,0.0106660665
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5",0.000527623,0.0003770675,0.000770665,0,0.00033023,0,0.0007482955,0,0.000686611,0,0.001115513,0,0.0005317195,0.000318044,0.0007167545,0,0.0013710935,0.0007747525,0,0,0.0004115265,0,0,0.000300451,0.0005665075,0.000143534,0,0.000235277,0.0005373975,0.0004786325,0.000303888,0.0002568395,0,0.0005077245,0.00033689,0.000502449,0.000594481,0.000198613,0,0.0004981595,0
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8",0.001271101,0.0010768895,0.0020363685,0,0.001073161,0.0020287245,0.0019233835,0.00141144,0.001978658,0,0.003079194,0.001762373,0.0015387465,0.001142948,0.00188049,0.001320191,0.0033445625,0.002049375,0.0014792005,0.000848562,0.0010478805,0.0026348125,0.0014174475,0.0010382885,0.001587882,0.000411214,0.001696484,0.0005632695,0.0014961095,0.001190512,0.0009625665,0.0009914575,0,0.0012224635,0.0010487815,0.001295955,0.001615858,0.00039655,0.00218027,0.0013299235,0.0012026875
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9",0.001437377,0.001321678,0.0026493765,0,0.0010643425,0.0024279435,0.002150186,0.001655108,0.002220551,0.002437436,0.003587671,0.001898911,0.001756541,0.001265243,0.002092185,0,0.003763403,0.002696442,0.001769776,0.001021264,0.001126973,0.0029569935,0,0.001089045,0.0017426765,0.0005913355,0.001760011,0.00076364,0.0016652025,0.0015761145,0.001142283,0.00107512,0,0.0014528605,0,0,0.001932713,0,0.002621526,0.001443756,0.001567826
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4",0.0009430565,0.0006913125,0.0008346355,0.000678996,0,0.001072242,0,0,0.000694575,0.001348139,0.0014196645,0,0,0.00049956,0.000776103,0.0007171685,0.0017129235,0,0,0.000378921,0.0004016945,0,0.000681788,0.0007023885,0,0.0003737775,0,0,0,0.000532935,0,0,0,0,0,0.000642143,0.00085279,0,0,0.0004585055,0.000555945
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y5",0.000879707,0,0,0,0.0003820625,0.0009681565,0.0007723605,0,0.000620315,0,0.001281647,0.000911293,0,0.0005163445,0,0,0,0,0,0,0.000379876,0,0.0006633195,0.0005061285,0,0,0,0,0.000476544,0,0.000514145,0,0,0.0004465745,0.0005794055,0.000559753,0.00081191,0.0002001865,0,0.0004691635,0
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y9",0.001678712,0.0013834245,0,0.001383335,0,0.0018579085,0,0,0.001494467,0,0.002510927,0.0021348135,0,0.001161568,0,0,0.003281859,0,0.0015025345,0.000789543,0,0,0,0.0010111185,0,0.000616012,0,0.0016813585,0,0,0,0.0006940465,0,0,0.001221116,0.0011388705,0,0,0,0.0007184435,0
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y10",0.0102284195,0.0094466025,0.0116714335,0.0112626155,0.004557691,0.012602034,0.012578198,0,0.0101471645,0.0159825165,0.0188215725,0.0128796015,0,0.007321208,0.013253325,0,0.0204852375,0,0.0107018105,0.005279525,0.0068858675,0.0154251225,0.010614924,0.0084290275,0.0108472315,0.0039741655,0,0,0.007950331,0.007663561,0,0.006412579,0,0.00631799,0.008599331,0,0.012719231,0.0032891145,0.013458468,0.0075366005,0.0074647665
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y7",0.0096769555,0.0087090815,0.010593332,0.0097545125,0.0042087965,0.011230279,0.011388656,0,0.0091106535,0.014446108,0.017220452,0.0117602965,0,0.0068378675,0.011722204,0,0.0183878625,0,0.009763936,0.004698545,0.0061973995,0.013339081,0.009664172,0.007507834,0.0098720675,0.0041183875,0.008803238,0,0.0068445035,0.007667113,0,0.005980221,0,0.0060285055,0.007619832,0,0.011355036,0.002705979,0.012286601,0.007143304,0.006913254
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y9",0.0061449765,0.0057179665,0,0.006618002,0.0029437205,0.0077771415,0.008143832,0.007419933,0.0062268315,0.0097214025,0.011327707,0.0081911205,0,0.0043635025,0.008096487,0,0.012502045,0,0.006302232,0.003343799,0,0.0090700615,0.006625806,0.004963895,0.006903016,0.002732071,0.005840587,0,0,0.0046297985,0.005277704,0.004074612,0,0.0039499395,0.005122437,0,0.007846787,0.0019170865,0.008356536,0.004708478,0.004617742
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y4",0.002924239,0.0024385625,0,0.001457927,0.001377976,0.002182454,0.002498789,0.0021704835,0.0015324085,0.0022744895,0.0030566555,0.0027931925,0.002439703,0.0036567,0.0018755345,0,0.004414177,0.002971452,0.0017753405,0.002301944,0.0011481045,0.001463415,0.0015474295,0.0014244295,0.0019972055,0.0011273835,0.0020547975,0.003200093,0.001190583,0.002001226,0.0010835155,0.0010008235,0,0.0013410435,0.0019868645,0.0025680115,0.0024782815,0.00056669,0.001648123,0.0011943715,0.0013816165
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y5",0.008806089,0.007013937,0.0042983125,0.0046526115,0.0033934855,0.006509905,0.0066677165,0.00628832,0.0045341175,0.00675261,0.008619361,0.0090648045,0,0.0115708055,0.0055619015,0.005622502,0.0142921865,0.007981104,0.0056571635,0.006463296,0.0035632205,0.004648734,0.004623617,0.0040421435,0.006450891,0.003556903,0.0063886505,0.0093906855,0.0041856885,0.005637862,0.00310108,0.0028696345,0.002186511,0.0038875625,0.006189178,0.007443268,0.007773409,0.0020933565,0.0049533615,0.003424545,0.003955897
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y6",0.0034800235,0.002744607,0.0017130635,0.001755796,0.0013147225,0,0.002692923,0,0.001881712,0.0027374045,0.0034269445,0.0037023095,0,0.004784549,0.002449395,0.002378467,0.005687695,0.0031730265,0.0021771905,0.0024552905,0.001491487,0.001995667,0.00189739,0.0015637725,0,0.001380785,0.0022896655,0.004101687,0.001710825,0.002353291,0.0013470845,0.0010531375,0.0009519445,0.0015754925,0.0025310515,0.003001801,0.003320257,0.0007381,0.002087763,0.0012191705,0.001517825
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y3",0.000842986,0,0.000504557,0,0,0,0.000651152,0,0.0005041335,0,0.0011091895,0.000684426,0,0.0011946125,0.000603838,0.000458754,0.001431093,0,0.0006482215,0,0.00036117,0.000667603,0.000446141,0.000522573,0.0005281175,0,0,0.000541793,0.0004828475,0,0,0.0003281785,0.0003310375,0,0.0006539195,0,0,0.000222191,0.000573061,0,0
