"","O01","O04","O06","O08","O10","O100","O101","O102","O103","O106","O118","O121","O122","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O49","O51","O52","O56","O60","O64","O66","O71","O78","O90","O91","O96","O99"
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y5",0.0083603515,0.007519465,NA,0.0086029145,0.007562672,0.007407751,0.008291516,0.009071797,NA,0.0076442385,NA,0.0122597655,NA,0.0107204035,NA,0.007982537,0.008670109,NA,0.0162120985,0.010205191,0.010121403,0.0054720415,0.004845353,NA,0.007385132,0.0067794915,NA,0.0080538315,NA,NA,NA,0.005831718,0.007861476,NA,0.0053074015,0.003455532,0.006013512,0.0091409705,0.0081252445,0.009455695,NA,NA,0.004095408,0.010131732,0.005052897,0.007573245
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y6",0.030610281,0.0273006945,NA,0.029635425,0.0259343295,0.0262832965,0.029160506,0.033157149,NA,0.0288545675,0.0271713985,0.0445256355,0.030868755,0.036891777,NA,0.0291334925,NA,NA,0.0524546155,NA,0.0351132855,0.01943602,0.0168858505,NA,0.0260429125,0.0234103175,NA,0.0294268345,0.0208069575,0.0049359995,NA,0.021591082,0.0277351105,NA,0.0188969105,NA,0.021831635,0.0321120665,0.02884568,0.034095614,NA,0.0300096915,0.0153561885,0.033676222,0.0190499915,0.026753784
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y4",0.0082572365,NA,0.0045141905,NA,0.004457773,NA,0.0053106475,NA,NA,0.0052102015,0.00509161,NA,0.0066038985,NA,NA,0.005749031,NA,NA,NA,NA,NA,0.0034150455,NA,0.0095857595,NA,0.006498821,NA,NA,NA,NA,0.007057221,NA,NA,NA,0.003468748,NA,0.00342681,NA,NA,0.010584768,NA,NA,0.004827541,NA,0.002722088,NA
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y5",0.0187858545,NA,0.0096149435,NA,0.010624315,NA,NA,NA,NA,0.0119057775,0.0112499235,NA,0.0154239355,0.018072039,NA,0.0129856735,NA,NA,NA,NA,0.0119210775,0.0071666465,NA,NA,0.0182150805,NA,NA,0.0122000905,0.012837027,NA,0.0161058735,NA,NA,NA,0.0075028325,NA,0.0080859005,NA,0.02027415,0.0243862615,NA,NA,0.011024394,NA,0.0065298995,NA
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y6",0.036999953,NA,0.0200025945,NA,0.0208177075,NA,NA,NA,NA,0.0236930195,0.0212273865,NA,NA,0.0364135225,NA,0.0269537955,NA,NA,0.055127038,NA,0.024540822,0.014707113,NA,NA,0.0362613335,0.0295711625,NA,0.0244165865,NA,NA,0.031689224,NA,NA,NA,0.015443527,NA,0.0166319595,NA,0.0395176235,0.0474756335,NA,NA,0.022176632,NA,0.0125405015,NA
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y11",NA,0.0004354205,NA,0.0005106855,0.00040517,NA,0.0003798515,0.000305747,NA,NA,0.0005625145,0.000605514,NA,0.0005789025,NA,0.0004460445,NA,NA,0.0008349955,NA,NA,0.000123861,0.000109393,0.000430439,NA,0.0002293915,NA,0.000186241,0.0002611275,5.38e-05,NA,0.000122702,0.000184445,NA,0.0002113715,NA,0.0002779575,NA,NA,0.000401567,NA,NA,5.705e-05,0.0004833495,0.0001047875,NA
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y8",0.0037335245,NA,NA,0.003216823,0.0027543665,0.000631671,0.0027055935,0.0022984055,NA,0.0024246865,0.003634608,0.0044397105,NA,0.004258691,NA,0.003779401,0.0026535985,NA,NA,0.004394714,0.0028297095,0.001094898,NA,0.003169974,0.001544165,0.001446065,NA,0.0016572045,0.001998221,0.000447659,0.0014950895,NA,NA,NA,0.0016190945,NA,0.0019875395,NA,0.0016308535,0.002503121,NA,NA,NA,NA,0.0011220605,0.0018480785
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9",0.0017020375,0.0012975865,0.000924245,0.001700068,0.001292533,0.0002999925,0.001148397,0.001090386,NA,0.0011412625,0.0017132505,0.002087322,NA,0.0017398915,NA,0.001868829,0.00105472,NA,0.002382793,0.0020750725,0.001281279,0.000560134,NA,0.001421371,NA,0.00063434,NA,NA,0.0009117815,0.000229052,0.00063201,0.000573232,NA,NA,0.0007153455,NA,0.0009143505,NA,0.000809957,0.001095278,NA,0.0018002045,NA,NA,NA,0.0009454585
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y6",NA,0.000990052,0.0011276275,0.0020203425,0.001221554,NA,0.0016964815,NA,NA,0.0012614325,0.001995593,0.0019605485,NA,NA,NA,0.0019306875,0.0014069895,NA,0.00303415,NA,0.001687627,0.000965435,0.0009107895,0.001381167,0.001235041,0.0015422105,0.001477026,0.0011453415,0.001311135,NA,0.001095843,NA,NA,NA,0.0008788295,0.000469842,0.00107747,NA,0.0016435555,0.001954007,NA,0.0017811985,NA,0.0015423325,0.0009874385,NA
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y7",0.005070925,NA,NA,0.0041481465,0.00276531,NA,0.003867078,NA,NA,0.0024972115,0.00425354,0.0039347815,NA,0.0052250025,NA,0.0038914225,0.0033781795,NA,0.0060358055,NA,0.003603437,0.0020903345,0.0018035065,0.0031458835,0.002564716,0.0029593025,0.003220931,0.002522692,0.002895903,0.001773866,NA,NA,NA,NA,0.0022061315,NA,0.0022724805,0.0040586635,0.002987748,0.0040123705,NA,0.0045090165,0.0009779605,NA,0.002122992,0.0027648945
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y8",0.0032876465,NA,0.001784144,NA,0.00207147,0.0013185855,NA,NA,NA,0.0020728435,0.0030749265,0.003298083,NA,0.0038192055,NA,0.0028861015,0.0026239605,NA,0.004481933,NA,0.0026145185,0.001286398,NA,0.002362585,NA,0.0019853365,NA,0.0018803145,0.002167164,0.0014550325,0.001703868,NA,0.002183735,NA,0.0015379755,NA,NA,NA,0.0024030465,NA,NA,0.0031384305,NA,0.0024926905,NA,0.0017347165
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5",0.001118372,0.0005248885,0.000459843,NA,0.0006803535,NA,0.0007650935,NA,0.0010106425,0.000602014,NA,0.001046291,NA,0.0010547725,NA,0.0010263205,NA,NA,0.001303441,NA,0.000978914,0.0003049175,NA,0.000793056,NA,NA,0.000858402,0.0005558485,0.0005667215,0.0007406155,0.0004858575,NA,NA,NA,0.000404575,NA,NA,0.000885884,NA,0.0007164155,NA,NA,0.000213345,0.0008308275,NA,0.0005601925
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7",0.0043302575,0.001989076,0.0022087905,0.0041962615,0.002998587,NA,0.003254894,NA,NA,0.002472508,0.004766286,0.004479985,0.004050116,NA,NA,0.004378839,0.003034397,NA,0.0064610765,NA,0.0034031315,0.0014044895,0.0008965235,0.003507561,NA,0.0020970875,0.003193577,0.0025671365,NA,0.0029708165,0.0017958775,0.0014864735,0.002119386,NA,0.002365998,NA,0.002487787,0.003768728,0.002414487,0.003132208,NA,NA,0.000747879,0.00396573,0.001449125,0.00243347
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9",0.0030044495,0.001341975,0.001363701,NA,0.0017674025,0.0007147865,0.0020982185,0.001878367,NA,0.001707819,0.0029606855,0.002799847,0.002603278,0.0030223515,NA,0.002976992,0.0019895575,NA,0.0038468395,NA,0.00230406,NA,NA,0.0022907875,NA,0.0015231955,0.002058041,0.001538336,0.001485499,0.001955888,0.0010975125,NA,0.0013859345,NA,0.0014118625,NA,0.0015969715,0.0027577275,NA,0.002171955,NA,0.002647445,0.000521865,0.002487633,0.0009687025,0.001495693
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5",0.0018052225,0.0004689185,NA,NA,0.000988466,0.000994832,0.0010519615,0.0009617155,0.0013526435,0.0006917925,0.001437337,0.0015808825,NA,0.0014241005,NA,0.0008853715,NA,NA,0.002456839,0.001454008,0.0011329105,0.000803459,0.000500308,0.0012170685,NA,0.0009559145,NA,0.000649654,NA,NA,NA,NA,0.0007575235,NA,0.0005815585,NA,0.0005877715,0.001824667,0.0009199465,0.001045166,NA,0.0009544275,NA,0.0010059385,0.0006567345,0.000894304
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7",0.0055174475,0.001771342,0.002634836,NA,0.00295829,NA,NA,0.0027922255,0.0035306855,0.002783199,0.004051771,0.005299735,NA,0.00510452,NA,0.0034471535,NA,NA,0.0075877215,0.0049185335,0.002969639,0.0023866985,NA,0.0041598205,NA,0.00228513,NA,0.0019626145,0.002014129,NA,NA,NA,0.0021219365,NA,0.0018947755,NA,0.001567534,0.0051781535,0.0029955245,0.0039790295,NA,0.0027569365,0.000834569,0.002467887,0.001590839,NA
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8",0.0018439345,0.0004654675,NA,0.0019278135,0.000924948,NA,0.0011971705,0.0011305385,NA,0.00074112,0.0015486215,0.0015654935,0.0013066605,0.0018418635,NA,NA,0.0013757985,NA,0.0025115815,0.0018038635,0.001126934,0.0008901095,NA,0.0016026,0.0008045965,0.0009400355,NA,0.0009195545,0.0009226745,NA,0.000580976,NA,NA,0.0009143795,NA,0.0002176175,0.000745192,0.002166055,0.001075761,0.0012881655,NA,0.0012318795,0.0003576805,0.0010854875,0.0006933615,0.001067007
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4",0.002462986,0.0022963825,NA,0.0018416855,0.0018895355,NA,0.001900092,0.0020189495,NA,0.0017073965,0.002155149,NA,0.0023843835,NA,NA,0.0021172545,0.0019857955,NA,0.003417727,NA,0.002062666,0.0014557215,NA,0.002531383,0.0016640025,0.001411943,NA,0.0016326715,0.0018299895,0.0010955395,0.0013922275,0.001458014,0.0014360015,NA,0.0013619515,NA,0.0012070495,0.0022597095,0.0019999055,0.0019636815,NA,0.002085416,0.00085183,NA,0.001525321,NA
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5",0.0060290165,0.006001555,NA,0.0048738815,0.0047270095,NA,0.004397873,NA,0.0046431345,0.004007499,0.005081778,0.0070883655,0.0052786855,0.00598137,NA,0.0057949455,0.004943306,NA,0.0078976485,NA,0.004274717,0.0034183465,NA,0.006280003,0.0044777635,0.0036235365,0.0050461685,0.0030039335,0.0043948035,0.0023994655,0.0031899145,NA,NA,NA,0.003168511,0.0027443025,0.0028592865,0.005566338,0.0039508735,0.004804048,0.0044133885,NA,0.001827972,NA,NA,0.005101884
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6",0.01131178,0.010196981,NA,0.008984888,0.008505593,NA,0.00826155,NA,NA,0.008021094,0.0095154305,0.0124679805,0.009860366,0.0105157365,NA,0.010649919,0.0086820695,NA,0.0141785645,NA,0.008204939,0.0061402055,NA,0.0110801105,0.0080518095,0.0068089395,0.0097153605,0.006224638,0.0078842365,NA,0.006106637,0.0061763835,NA,NA,0.005826563,NA,0.0055085525,0.0105100085,0.0073664675,0.0086561225,NA,0.009034936,0.0035166435,NA,0.006226534,0.008487163
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4",0.0013542855,0.001142278,NA,NA,0.001778447,0.0010510515,0.0018689975,0.0013382205,0.0031863755,0.00196485,0.0013032565,0.00309889,NA,0.0017414805,NA,0.001485834,0.001596933,NA,0.003636284,0.002550957,0.0022177175,0.0014893155,0.002808153,0.0026617055,0.002798954,0.001741026,0.0035340855,0.000984893,0.0031549545,0.00153525,0.003174791,0.0015012755,0.002065567,0.0044608515,0.0015699135,NA,0.0017746505,0.003209853,0.002301675,0.001865061,0.002963513,0.0031225215,0.0009006645,0.002008945,0.000981818,0.0048961675
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5",0.00973322,0.0083596325,0.013339558,0.0156846125,0.012815827,0.0064183125,0.0117503695,0.01059488,0.0212043425,0.0155095985,0.008882577,0.023254459,0.011496236,0.0131249865,0.021287714,0.0094722255,0.011852078,0.0191528415,0.0231480905,0.018490208,0.016704936,0.011447052,0.019930794,0.0187392355,0.0216974095,0.013321498,0.025197885,0.0059479285,0.020711715,0.0111388315,0.0227786415,0.010432326,0.013967065,0.03303196,0.0117285305,0.010229452,0.0153000275,NA,0.018151629,0.0121970995,0.0220094175,0.0215318605,0.00531021,0.015419149,0.007265265,NA
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6",0.0223360185,0.0185713995,0.029298782,0.034261543,0.0285890535,0.014142858,0.0270056455,0.0230623805,0.0451985495,0.0334406925,0.0187359805,0.048496732,0.0244150275,0.0275130325,0.044326799,0.0208803435,0.0259348475,0.042192344,0.049765287,0.037900527,0.035246149,0.02509577,0.0428867195,0.0385752145,0.046086646,0.0282211075,0.0530692145,0.013577634,0.045868611,0.023780878,0.0488059285,0.0227306745,0.029334473,0.0674163445,0.02480666,0.0223637475,0.0343828045,0.047461219,0.0392078165,0.02744027,0.0454771065,0.045784918,0.011979557,0.0304415985,0.0162666945,0.066322926
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7",0.0084240515,0.0049473625,NA,0.016801432,0.005809491,0.00649329,0.008385427,0.005599326,NA,0.0072945355,0.0095185745,0.0132667415,NA,0.01006828,NA,0.005591366,0.007463951,NA,0.0172883445,NA,0.012964109,0.0059358495,0.0085569965,0.008087102,0.010543584,0.00892082,0.0135416075,0.004517268,0.012637057,0.0083750255,0.009690384,0.004803403,NA,NA,0.007947436,NA,0.0086194805,0.019949905,0.011107204,0.016815202,NA,0.0134030165,0.0035014805,0.005524238,0.00360154,NA
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8",0.0726592505,0.044655517,NA,0.1460624545,0.055027804,0.060995772,0.0741666925,0.047866647,NA,0.064048304,0.083178149,0.1153321655,NA,0.086182484,NA,0.0486600985,0.0686825585,NA,0.156514923,0.091041963,0.114171221,0.055550878,0.0769921,0.074370737,0.0945697225,0.080282262,0.125075431,0.042683382,0.110212894,0.0785506805,0.0887999265,0.0432198275,NA,NA,0.0744330305,NA,0.0767591325,0.1726938405,0.100481015,0.152135912,NA,0.122300086,0.0329937415,0.051944629,0.03096837,NA
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9",0.062572588,0.038653333,NA,0.123436689,0.0485337685,0.0531001525,0.0634411815,0.042752137,NA,0.0563198905,0.072468819,0.097751674,NA,0.073457647,NA,0.0431952385,0.059223694,NA,0.13005524,0.0789592795,0.097740929,0.048915565,0.066524836,0.0653584785,0.0817706655,0.069338933,0.1066216375,0.0383338995,0.0951118105,0.069119183,0.076739471,0.0392007605,0.0766064105,NA,0.064859801,NA,0.0660807175,0.14407824,0.0870155815,0.1282872775,NA,0.104577523,0.0291709675,0.0456363385,0.0277445925,0.091200153
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y4",0.0317010425,0.016122336,NA,0.0510720075,0.020893394,0.0177583315,0.0286256165,0.0186066815,NA,0.021670935,0.0334035645,0.0454123675,0.025828946,0.0380857905,NA,0.021869593,0.025406988,NA,0.05921813,NA,0.041821235,0.0236827145,0.0288979995,0.0299775225,0.0341502655,0.0313607375,0.0476483395,0.0190108965,0.040686725,NA,0.0320098985,0.017449072,0.0388621005,0.0538335415,0.026978778,NA,0.0283393425,0.06945778,0.0401517885,0.059698028,NA,0.043856044,0.014497459,0.022856786,0.0132457485,0.038242255
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y5",0.0607431615,0.02963506,NA,0.089991661,0.0393356055,0.034744518,0.051926444,0.0350897045,NA,0.0402908785,0.061708808,0.084812816,0.047192779,0.070371565,NA,0.0422114645,0.0477954595,NA,0.1054636055,NA,0.0762038115,0.0425650625,0.0528601695,0.055437473,0.067524917,0.0596888655,0.0876027605,0.0372710205,0.077243048,NA,0.061630375,0.033796485,0.072345444,0.098870244,0.049350866,NA,0.052702666,0.121598394,0.0756181205,0.1099483155,NA,0.08142452,0.027681678,0.0427567705,0.0253497675,0.0714321325
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6",0.027584824,0.013799736,0.0136530145,0.03552725,0.0157038475,0.013132366,0.021811387,0.01484588,NA,0.018661518,0.0260072595,0.0313782625,NA,0.03453014,NA,0.019870553,0.0221150515,NA,0.043926314,NA,0.032539538,0.0194861805,0.0217392985,0.0226842425,0.0242772185,0.0277641745,0.028857136,0.0173954175,0.0267468985,NA,0.025802651,0.018463747,0.029110702,0.0325781885,0.0198616985,NA,0.0209095975,0.043309343,0.032335562,0.0425285335,NA,0.0313499155,0.0155635315,0.01845006,0.012172031,0.0265548025
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y6",0.010768864,0.005628794,NA,0.0104116,0.005614358,NA,NA,0.0110173215,NA,0.005319606,0.01110727,0.0159334525,0.0101137515,0.0123770095,NA,0.006713908,NA,NA,0.02224775,NA,0.0109812605,0.0051203025,0.00571849,0.014030958,0.0089279485,0.0076213365,0.009352512,0.004245458,0.0070811965,NA,0.0068222225,0.0068430545,NA,NA,0.0054511025,NA,0.006034417,0.011613079,NA,0.01397718,NA,NA,0.0031010605,0.0129464065,0.0065417115,0.006304485
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y7",0.0120610185,0.005648769,NA,0.0111504085,0.0063789185,0.0080198495,NA,0.011691421,NA,0.0060013625,0.0117260985,0.0160116415,0.011012284,0.0137225755,NA,0.006818353,0.0133543745,NA,0.022782866,NA,0.012042968,0.0058890635,0.005941543,0.0150385525,0.0092385,0.008000118,NA,0.004602235,NA,0.005687865,0.0070385175,0.0073152845,NA,NA,0.0056878745,NA,0.0064803195,0.012041017,NA,0.014921696,NA,0.012149469,0.003288065,0.01347688,0.007212633,0.006785349
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y8",0.0203051405,0.009575324,NA,0.01858309,0.0100495095,0.013621495,NA,0.0197116595,NA,0.0104103805,NA,0.0269873075,0.019233442,0.0235842855,NA,0.0116064015,0.0230592585,NA,0.037967162,NA,0.020359444,0.009711207,0.0105541925,0.024493505,0.0166088925,0.01385327,0.016581801,0.00763107,0.013172948,NA,NA,NA,0.0142376735,NA,0.0098118255,NA,0.010704458,NA,NA,0.02548926,NA,0.0199116615,0.0054718995,0.023316778,0.01232698,0.0106660665
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5",0.000527623,0.0003770675,0.000770665,0.0005117655,NA,0.00033023,NA,0.0007482955,NA,0.000686611,NA,0.001115513,0.0008998185,NA,0.0005317195,0.000318044,0.0007167545,NA,0.0013710935,0.0007747525,NA,NA,0.0004115265,NA,NA,0.000300451,0.0005665075,0.000143534,NA,0.000235277,0.0005373975,0.0004786325,0.000303888,NA,0.0002568395,NA,0.0005077245,0.0006561265,0.00033689,0.0006607725,0.000502449,0.000594481,0.000198613,NA,0.0004981595,NA
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8",0.001271101,0.0010768895,0.0020363685,0.001468291,NA,0.001073161,0.0020287245,0.0019233835,0.00141144,0.001978658,NA,0.003079194,NA,0.001762373,0.0015387465,0.001142948,0.00188049,0.001320191,0.0033445625,0.002049375,0.0014792005,0.000848562,0.0010478805,0.0026348125,0.0014174475,0.0010382885,0.001587882,0.000411214,0.001696484,0.0005632695,0.0014961095,0.001190512,0.0009625665,NA,0.0009914575,NA,0.0012224635,0.0016512295,0.0010487815,NA,0.001295955,0.001615858,0.00039655,0.00218027,0.0013299235,0.0012026875
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9",0.001437377,0.001321678,0.0026493765,0.0017937765,NA,0.0010643425,0.0024279435,0.002150186,0.001655108,0.002220551,0.002437436,0.003587671,0.0029561525,0.001898911,0.001756541,0.001265243,0.002092185,NA,0.003763403,0.002696442,0.001769776,0.001021264,0.001126973,0.0029569935,NA,0.001089045,0.0017426765,0.0005913355,0.001760011,0.00076364,0.0016652025,0.0015761145,0.001142283,NA,0.00107512,NA,0.0014528605,NA,NA,0.002179622,NA,0.001932713,NA,0.002621526,0.001443756,0.001567826
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4",0.0009430565,0.0006913125,0.0008346355,NA,0.000678996,NA,0.001072242,NA,NA,0.000694575,0.001348139,0.0014196645,0.000787604,NA,NA,0.00049956,0.000776103,0.0007171685,0.0017129235,NA,NA,0.000378921,0.0004016945,NA,0.000681788,0.0007023885,NA,0.0003737775,NA,NA,NA,0.000532935,NA,NA,NA,NA,NA,0.000909275,NA,0.0011242205,0.000642143,0.00085279,NA,NA,0.0004585055,0.000555945
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y5",0.000879707,NA,NA,0.000885275,NA,0.0003820625,0.0009681565,0.0007723605,NA,0.000620315,NA,0.001281647,0.000658315,0.000911293,NA,0.0005163445,NA,NA,NA,NA,NA,NA,0.000379876,NA,0.0006633195,0.0005061285,NA,NA,NA,NA,0.000476544,NA,0.000514145,NA,NA,NA,0.0004465745,0.0009521545,0.0005794055,0.0009263985,0.000559753,0.00081191,0.0002001865,NA,0.0004691635,NA
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y9",0.001678712,0.0013834245,NA,NA,0.001383335,NA,0.0018579085,NA,NA,0.001494467,NA,0.002510927,NA,0.0021348135,NA,0.001161568,NA,NA,0.003281859,NA,0.0015025345,0.000789543,NA,NA,NA,0.0010111185,NA,0.000616012,NA,0.0016813585,NA,NA,NA,NA,0.0006940465,NA,NA,NA,0.001221116,0.001985842,0.0011388705,NA,NA,NA,0.0007184435,NA
