"","O01","O04","O06","O10","O100","O101","O102","O103","O106","O118","O121","O122","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O49","O51","O52","O56","O64","O71","O78","O90","O91","O96","O99"
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y5",0.0083603515,0,0,0.007562672,0,0,0,0,0.0076442385,0,0.0122597655,0,0,0,0.007982537,0,0,0,0,0,0,0,0,0.007385132,0,0,0,0,0,0,0,0.007861476,0,0.0053074015,0,0.006013512,0.0081252445,0,0,0.004095408,0,0.005052897,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y6",0.030610281,0.0273006945,0,0.0259343295,0,0,0,0,0.0288545675,0,0.0445256355,0,0,0,0.0291334925,0,0,0.0524546155,0,0,0.01943602,0,0,0.0260429125,0,0,0,0,0,0,0,0,0,0.0188969105,0,0.021831635,0.02884568,0,0,0.0153561885,0,0.0190499915,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y4",0.0082572365,0,0,0.004457773,0,0,0,0,0.0052102015,0,0,0,0,0,0,0,0,0,0,0,0.0034150455,0,0,0,0,0,0,0,0,0.007057221,0,0,0,0.003468748,0,0,0,0,0,0,0,0.002722088,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y5",0.0187858545,0,0,0.010624315,0,0,0,0,0.0119057775,0,0,0,0,0,0,0,0,0,0,0,0.0071666465,0,0,0,0,0,0,0,0,0.0161058735,0,0,0,0.0075028325,0,0,0,0,0,0,0,0,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y6",0.036999953,0,0,0.0208177075,0,0,0,0,0.0236930195,0,0,0,0,0,0.0269537955,0,0,0,0,0,0.014707113,0,0,0,0,0,0,0,0,0.031689224,0,0,0,0.015443527,0,0,0,0,0,0,0,0.0125405015,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y11",0,0,0,0,0,0,0,0,0,0.0005625145,0.000605514,0,0.0005789025,0,0.0004460445,0,0,0,0,0,0.000123861,0,0.000430439,0,0,0,0,0.0002611275,5.38e-05,0,0,0.000184445,0,0.0002113715,0,0.0002779575,0,0,0,5.705e-05,0,0.0001047875,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y8",0.0037335245,0,0,0.0027543665,0,0.0027055935,0.0022984055,0,0.0024246865,0.003634608,0.0044397105,0,0,0,0,0,0,0,0,0.0028297095,0.001094898,0,0.003169974,0,0.001446065,0,0.0016572045,0.001998221,0,0.0014950895,0,0,0,0.0016190945,0,0.0019875395,0.0016308535,0,0,0,0,0.0011220605,0.0018480785
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9",0.0017020375,0,0,0.001292533,0,0.001148397,0.001090386,0,0.0011412625,0.0017132505,0.002087322,0,0.0017398915,0,0.001868829,0,0,0.002382793,0,0.001281279,0,0,0.001421371,0,0,0,0,0,0.000229052,0,0,0,0,0,0,0,0.000809957,0,0,0,0,0,0.0009454585
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y6",0,0,0,0.001221554,0,0,0,0,0.0012614325,0.001995593,0.0019605485,0,0,0,0.0019306875,0.0014069895,0,0,0,0,0.000965435,0,0.001381167,0.001235041,0.0015422105,0,0,0.001311135,0,0.001095843,0,0,0,0,0,0.00107747,0,0,0,0,0,0,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y7",0.005070925,0,0,0.00276531,0,0,0,0,0.0024972115,0.00425354,0.0039347815,0,0.0052250025,0,0.0038914225,0.0033781795,0,0.0060358055,0,0.003603437,0.0020903345,0,0.0031458835,0,0.0029593025,0,0.002522692,0.002895903,0.001773866,0,0,0,0,0.0022061315,0,0.0022724805,0.002987748,0,0,0,0,0.002122992,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y8",0.0032876465,0,0,0.00207147,0,0,0,0,0.0020728435,0,0,0,0,0,0.0028861015,0,0,0.004481933,0,0,0.001286398,0,0.002362585,0,0.0019853365,0,0,0,0.0014550325,0,0,0,0,0.0015379755,0,0,0.0024030465,0,0,0,0,0,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5",0.001118372,0,0,0.0006803535,0,0.0007650935,0,0,0.000602014,0,0.001046291,0,0.0010547725,0,0.0010263205,0,0,0.001303441,0,0.000978914,0,0,0.000793056,0,0,0.000858402,0.0005558485,0.0005667215,0.0007406155,0.0004858575,0,0,0,0.000404575,0,0,0,0,0,0,0,0,0.0005601925
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7",0.0043302575,0,0.0022087905,0.002998587,0,0,0,0,0.002472508,0.004766286,0,0,0,0,0.004378839,0.003034397,0,0.0064610765,0,0.0034031315,0,0,0.003507561,0,0,0,0,0,0,0,0,0,0,0.002365998,0,0.002487787,0,0,0,0.000747879,0,0,0.00243347
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9",0,0,0.001363701,0.0017674025,0,0.0020982185,0,0,0.001707819,0.0029606855,0.002799847,0,0,0,0.002976992,0,0,0.0038468395,0,0.00230406,0,0,0.0022907875,0,0.0015231955,0,0,0,0,0.0010975125,0,0,0,0,0,0,0,0,0,0,0.002487633,0,0.001495693
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5",0.0018052225,0.0004689185,0,0.000988466,0.000994832,0,0.0009617155,0,0,0,0.0015808825,0,0.0014241005,0,0,0,0,0,0.001454008,0.0011329105,0.000803459,0,0.0012170685,0,0,0,0.000649654,0,0,0,0,0.0007575235,0,0.0005815585,0,0.0005877715,0,0,0,0,0.0010059385,0.0006567345,0.000894304
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7",0,0.001771342,0.002634836,0.00295829,0,0,0,0.0035306855,0,0,0.005299735,0,0.00510452,0,0.0034471535,0,0,0.0075877215,0,0,0,0,0,0,0.00228513,0,0.0019626145,0.002014129,0,0,0,0.0021219365,0,0,0,0,0.0029955245,0,0,0,0.002467887,0,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8",0,0.0004654675,0,0,0,0.0011971705,0,0,0.00074112,0,0,0,0.0018418635,0,0,0.0013757985,0,0,0.0018038635,0.001126934,0.0008901095,0,0.0016026,0.0008045965,0.0009400355,0,0.0009195545,0.0009226745,0,0,0,0,0,0,0,0.000745192,0.001075761,0,0,0.0003576805,0.0010854875,0.0006933615,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4",0,0,0,0.0018895355,0,0.001900092,0,0,0.0017073965,0,0,0.0023843835,0,0,0.0021172545,0,0,0.003417727,0,0.002062666,0.0014557215,0,0,0.0016640025,0,0,0,0.0018299895,0,0.0013922275,0.001458014,0,0,0,0,0,0.0019999055,0,0.002085416,0,0,0.001525321,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5",0.0060290165,0,0,0.0047270095,0,0,0,0,0.004007499,0,0.0070883655,0,0,0,0,0,0,0.0078976485,0,0,0.0034183465,0,0,0,0.0036235365,0,0,0,0,0.0031899145,0,0,0,0.003168511,0,0.0028592865,0.0039508735,0,0,0.001827972,0,0,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6",0.01131178,0,0,0.008505593,0,0.00826155,0,0,0.008021094,0,0.0124679805,0,0,0,0.010649919,0,0,0.0141785645,0,0,0.0061402055,0,0,0.0080518095,0.0068089395,0,0,0,0,0.006106637,0,0,0,0.005826563,0,0,0.0073664675,0,0,0.0035166435,0,0,0
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4",0,0.001142278,0,0.001778447,0,0.0018689975,0.0013382205,0,0.00196485,0,0.00309889,0,0.0017414805,0,0,0,0,0.003636284,0,0.0022177175,0,0.002808153,0.0026617055,0,0.001741026,0.0035340855,0,0.0031549545,0.00153525,0,0.0015012755,0,0,0.0015699135,0,0.0017746505,0.002301675,0,0.0031225215,0,0.002008945,0.000981818,0
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5",0.00973322,0.0083596325,0,0.012815827,0.0064183125,0,0.01059488,0,0.0155095985,0,0.023254459,0,0.0131249865,0,0,0.011852078,0,0.0231480905,0,0.016704936,0,0.019930794,0.0187392355,0.0216974095,0.013321498,0.025197885,0.0059479285,0.020711715,0.0111388315,0.0227786415,0.010432326,0,0,0.0117285305,0,0.0153000275,0,0,0,0.00531021,0.015419149,0.007265265,0
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6",0.0223360185,0.0185713995,0,0.0285890535,0.014142858,0.0270056455,0.0230623805,0,0.0334406925,0,0,0,0.0275130325,0,0,0.0259348475,0,0.049765287,0.037900527,0.035246149,0,0.0428867195,0.0385752145,0.046086646,0.0282211075,0.0530692145,0.013577634,0.045868611,0,0.0488059285,0.0227306745,0,0.0674163445,0,0,0.0343828045,0.0392078165,0,0,0.011979557,0.0304415985,0.0162666945,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7",0.0084240515,0,0,0.005809491,0,0.008385427,0.005599326,0,0.0072945355,0.0095185745,0.0132667415,0,0.01006828,0,0.005591366,0.007463951,0,0.0172883445,0,0.012964109,0.0059358495,0,0.008087102,0,0,0.0135416075,0.004517268,0.012637057,0.0083750255,0.009690384,0.004803403,0,0,0.007947436,0,0,0.011107204,0,0.0134030165,0.0035014805,0.005524238,0,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8",0.0726592505,0.044655517,0,0.055027804,0,0.0741666925,0,0,0.064048304,0.083178149,0.1153321655,0,0.086182484,0,0.0486600985,0.0686825585,0,0.156514923,0,0.114171221,0.055550878,0,0.074370737,0,0,0.125075431,0.042683382,0.110212894,0.0785506805,0.0887999265,0,0,0,0.0744330305,0,0,0.100481015,0,0.122300086,0.0329937415,0.051944629,0.03096837,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9",0.062572588,0.038653333,0,0.0485337685,0,0.0634411815,0,0,0.0563198905,0.072468819,0.097751674,0,0.073457647,0,0.0431952385,0.059223694,0,0.13005524,0,0.097740929,0.048915565,0,0.0653584785,0,0,0.1066216375,0.0383338995,0.0951118105,0.069119183,0.076739471,0,0,0,0.064859801,0,0.0660807175,0.0870155815,0,0.104577523,0.0291709675,0.0456363385,0.0277445925,0
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y4",0.0317010425,0.016122336,0,0.020893394,0.0177583315,0.0286256165,0.0186066815,0,0.021670935,0.0334035645,0.0454123675,0,0.0380857905,0,0.021869593,0.025406988,0,0.05921813,0,0.041821235,0.0236827145,0,0,0.0341502655,0.0313607375,0,0,0,0,0.0320098985,0.017449072,0,0,0.026978778,0,0,0.0401517885,0,0.043856044,0.014497459,0.022856786,0.0132457485,0
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y5",0.0607431615,0.02963506,0,0.0393356055,0.034744518,0.051926444,0.0350897045,0,0.0402908785,0,0.084812816,0,0.070371565,0,0.0422114645,0.0477954595,0,0.1054636055,0,0.0762038115,0.0425650625,0,0,0.067524917,0.0596888655,0,0.0372710205,0,0,0.061630375,0.033796485,0,0,0.049350866,0,0.052702666,0.0756181205,0,0,0.027681678,0.0427567705,0.0253497675,0
"CHOYP_CAH2.1.1|m.42306 QSPIDISTK y6",0.027584824,0.013799736,0,0.0157038475,0.013132366,0.021811387,0.01484588,0,0.018661518,0,0.0313782625,0,0.03453014,0,0.019870553,0.0221150515,0,0.043926314,0,0.032539538,0.0194861805,0,0.0226842425,0.0242772185,0.0277641745,0,0.0173954175,0,0,0.025802651,0.018463747,0,0,0.0198616985,0,0,0.032335562,0,0.0313499155,0.0155635315,0.01845006,0.012172031,0
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y6",0.010768864,0.005628794,0,0.005614358,0,0,0.0110173215,0,0,0,0,0,0,0,0.006713908,0,0,0,0,0,0.0051203025,0,0,0,0,0,0,0,0,0,0,0,0,0.0054511025,0,0.006034417,0,0,0,0,0,0.0065417115,0.006304485
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y7",0.0120610185,0.005648769,0,0,0,0,0.011691421,0,0.0060013625,0,0,0,0,0,0,0,0,0,0,0,0.0058890635,0,0,0.0092385,0.008000118,0,0,0,0,0,0,0,0,0.0056878745,0,0.0064803195,0,0,0,0.003288065,0,0.007212633,0
"CHOYP_CATA.1.3|m.11120 IQIMTPEQAEK y8",0.0203051405,0.009575324,0,0,0,0,0.0197116595,0,0.0104103805,0,0.0269873075,0,0,0,0,0,0,0.037967162,0,0,0.009711207,0,0,0.0166088925,0.01385327,0,0,0,0,0,0,0,0,0.0098118255,0,0.010704458,0,0,0,0.0054718995,0,0.01232698,0
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y5",0,0.0003770675,0,0,0.00033023,0,0.0007482955,0,0.000686611,0,0,0,0,0.0005317195,0,0,0,0,0,0,0,0.0004115265,0,0,0.000300451,0,0.000143534,0,0.000235277,0.0005373975,0.0004786325,0.000303888,0,0.0002568395,0,0.0005077245,0.00033689,0.000502449,0.000594481,0.000198613,0,0.0004981595,0
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y8",0.001271101,0,0,0,0,0,0.0019233835,0.00141144,0.001978658,0,0.003079194,0,0.001762373,0.0015387465,0,0,0.001320191,0.0033445625,0.002049375,0.0014792005,0,0.0010478805,0,0,0,0.001587882,0,0,0.0005632695,0,0,0.0009625665,0,0,0,0,0.0010487815,0.001295955,0.001615858,0,0,0,0.0012026875
"CHOYP_CATA.1.3|m.11120 LQAHLDSVSNVSK y9",0.001437377,0.001321678,0.0026493765,0,0.0010643425,0,0.002150186,0.001655108,0.002220551,0.002437436,0.003587671,0,0.001898911,0.001756541,0,0.002092185,0,0.003763403,0,0,0.001021264,0,0,0,0,0.0017426765,0.0005913355,0.001760011,0,0.0016652025,0,0,0,0.00107512,0,0.0014528605,0,0,0.001932713,0,0,0.001443756,0
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y4",0.0009430565,0,0,0.000678996,0,0,0,0,0,0,0,0.000787604,0,0,0.00049956,0,0,0,0,0,0.000378921,0,0,0,0.0007023885,0,0.0003737775,0,0,0,0,0,0,0,0,0,0,0.000642143,0.00085279,0,0,0,0.000555945
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y5",0,0,0,0,0,0.0009681565,0.0007723605,0,0,0,0,0,0.000911293,0,0.0005163445,0,0,0,0,0,0,0.000379876,0,0.0006633195,0,0,0,0,0,0.000476544,0,0,0,0,0,0,0.0005794055,0,0.00081191,0,0,0.0004691635,0
"CHOYP_CATA.1.3|m.11120 LVENIGNHLINTQK y9",0,0,0,0.001383335,0,0,0,0,0,0,0,0,0,0,0.001161568,0,0,0,0,0,0.000789543,0,0,0,0,0,0.000616012,0,0,0,0,0,0,0,0,0,0.001221116,0,0,0,0,0,0
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y10",0,0.0094466025,0,0.0112626155,0.004557691,0.012602034,0.012578198,0,0.0101471645,0.0159825165,0.0188215725,0,0,0,0.007321208,0,0,0.0204852375,0,0.0107018105,0,0,0.0154251225,0.010614924,0.0084290275,0,0.0039741655,0,0,0,0.007663561,0,0,0.006412579,0,0,0.008599331,0,0.012719231,0.0032891145,0,0.0075366005,0.0074647665
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y7",0.0096769555,0,0,0.0097545125,0.0042087965,0.011230279,0,0,0.0091106535,0.014446108,0.017220452,0,0,0,0.0068378675,0,0,0.0183878625,0,0.009763936,0.004698545,0,0.013339081,0.009664172,0.007507834,0,0.0041183875,0,0,0,0.007667113,0,0,0.005980221,0,0,0.007619832,0,0,0.002705979,0.012286601,0.007143304,0
"CHOYP_CATA.3.3|m.21642 TDQGIQNLSAAEANR y9",0.0061449765,0.0057179665,0,0.006618002,0.0029437205,0.0077771415,0,0,0.0062268315,0.0097214025,0.011327707,0,0.0081911205,0,0.0043635025,0,0,0.012502045,0,0.006302232,0.003343799,0,0.0090700615,0.006625806,0.004963895,0,0.002732071,0,0,0,0.0046297985,0,0,0.004074612,0,0,0.005122437,0,0,0.0019170865,0.008356536,0.004708478,0
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y4",0,0.0024385625,0,0.001457927,0.001377976,0,0.002498789,0,0.0015324085,0,0.0030566555,0.0025225855,0.0027931925,0,0,0.0018755345,0,0.004414177,0.002971452,0.0017753405,0.002301944,0,0,0.0015474295,0.0014244295,0,0.0011273835,0.0020547975,0,0,0.002001226,0,0,0.0010008235,0,0.0013410435,0,0,0.0024782815,0,0,0.0011943715,0.0013816165
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y5",0.008806089,0,0,0.0046526115,0.0033934855,0.006509905,0.0066677165,0,0.0045341175,0,0.008619361,0,0.0090648045,0,0.0115708055,0.0055619015,0,0.0142921865,0.007981104,0.0056571635,0.006463296,0,0,0,0.0040421435,0,0.003556903,0.0063886505,0,0.0041856885,0.005637862,0,0.004895724,0.0028696345,0,0.0038875625,0.006189178,0.007443268,0.007773409,0.0020933565,0.0049533615,0,0
"CHOYP_G6PD.2.2|m.46923 SDELYEAWR y6",0.0034800235,0.002744607,0.0017130635,0.001755796,0.0013147225,0,0.002692923,0,0,0.0027374045,0.0034269445,0.0026267725,0.0037023095,0,0.004784549,0.002449395,0.002378467,0.005687695,0.0031730265,0.0021771905,0,0,0.001995667,0.00189739,0.0015637725,0,0.001380785,0.0022896655,0,0.001710825,0.002353291,0.0013470845,0.002075712,0.0010531375,0.0009519445,0.0015754925,0.0025310515,0,0.003320257,0.0007381,0,0.0012191705,0
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y3",0.000842986,0,0.000504557,0,0,0,0.000651152,0,0,0,0.0011091895,0,0,0,0.0011946125,0,0,0,0,0.0006482215,0,0.00036117,0.000667603,0.000446141,0.000522573,0.0005281175,0,0,0.000541793,0.0004828475,0,0,0,0.0003281785,0.0003310375,0,0.0006539195,0,0,0.000222191,0.000573061,0,0
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y4",0,0,0,0.0091712375,0,0,0,0,0.009190243,0,0.0207435405,0,0,0,0.0242311615,0,0,0.0304910185,0,0,0,0,0,0.008869756,0,0,0.006863536,0.009125048,0,0,0,0,0,0.0058506365,0,0,0.01126417,0,0,0.0036710605,0,0.007163061,0
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y5",0.01567329,0,0,0.008299313,0,0,0,0,0.008378033,0,0.0185480105,0,0,0,0.020955873,0,0,0.026684382,0,0,0,0,0.010052331,0.008237243,0,0,0.00574052,0.008370758,0,0.006250725,0,0,0,0.005346532,0,0,0.010402623,0,0,0.0029619465,0,0.00629977,0
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y4",0.0047378455,0,0,0.0047696145,0,0,0,0,0.004751468,0,0.00866703,0,0,0,0,0,0,0,0,0,0.0059626765,0,0,0,0,0,0,0,0,0,0,0,0,0.003033839,0,0.00316228,0,0,0,0,0,0,0
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y6",0.003771815,0,0,0,0,0,0,0,0.0036624365,0,0,0,0,0,0,0,0,0,0,0,0.004959032,0,0,0,0,0,0,0,0,0,0,0,0,0.002384112,0,0,0,0,0,0.001176597,0,0.0029483635,0
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y7",0.0057772715,0,0,0.0058844075,0,0,0,0,0.005674418,0,0,0,0,0,0,0,0,0,0,0,0.0076210405,0,0,0.005997241,0,0,0,0.0061250065,0.00245126,0,0,0,0,0.0038108375,0,0.0042022545,0,0,0,0,0,0.0044022905,0
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y4",0.0039056675,0.004592774,0,0.0016642565,0,0,0,0,0.003424642,0.003725102,0.00743026,0,0,0,0.003476814,0.0043562695,0,0.0051813405,0,0,0.0011301205,0,0.0051813965,0.0051041675,0.00235722,0,0.003381837,0,0,0.001547303,0.0030226145,0,0,0.002510285,0,0,0,0,0.0021135365,0.0015486595,0.0045305715,0.0013131605,0.001562365
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y5",0.004819953,0.0054052055,0,0.002038927,0,0.008468152,0,0,0.004335496,0.0044672755,0.008674414,0,0.0053938815,0,0,0.0045651065,0,0.006710605,0,0.005021462,0,0,0.006511561,0.0055834725,0.0029399955,0,0.004015041,0,0,0.001907223,0,0,0.002924277,0.0028821305,0,0.0033383305,0.004214307,0,0,0,0,0.001575709,0.001509638
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y6",0.0121095785,0.014073914,0,0.0049531405,0,0,0,0,0.0103287765,0,0.0213363675,0,0.013270306,0,0.0103419175,0.012427304,0,0.0153155695,0,0.012330882,0,0,0.016103994,0.0147848935,0.0074776455,0,0.010227913,0,0,0.004305742,0.009743463,0,0.0065483675,0.0077998515,0,0,0.011142344,0,0.006201877,0,0,0.0038203475,0
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y5",0.0062129975,0,0,0.004944246,0,0.00620785,0,0,0.0063167125,0,0,0,0,0,0,0.006142267,0,0.01138246,0,0.008381332,0,0,0,0.0057980435,0.0049965165,0,0.0050898115,0,0,0,0,0,0,0,0,0.0051949575,0.006803386,0,0,0.002333007,0,0.0051607775,0
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y7",0.024895246,0,0,0.019480934,0,0.02612059,0,0,0.0250173555,0,0.049043374,0,0,0,0,0,0,0.04565457,0,0.0324007015,0.013605743,0,0,0.023403094,0.0180264665,0,0.0197085125,0,0,0,0,0,0,0,0,0.019075197,0.0274283265,0,0,0.008427844,0,0.0196544505,0
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y8",0.022824391,0,0,0.018080026,0,0.0236910685,0,0,0.0233822505,0,0,0,0,0,0.0277660665,0.024028149,0,0.040628144,0,0,0.0122477055,0,0,0.0229672805,0.01688998,0,0.0188620445,0,0,0,0,0,0,0.014178844,0,0.0173672455,0.0250874455,0,0,0.0077618415,0,0.0183339605,0
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y7",0,0,0,0.0032568685,0.0020345755,0,0,0,0,0,0,0.0058475065,0.006098615,0,0,0,0,0.0076458825,0,0,0.0026054575,0,0.004573262,0.004866482,0.003188127,0,0.0035375845,0,0,0.0039162245,0,0,0,0.0024852705,0,0.0033822475,0.005510097,0,0,0.0020689395,0,0.002973982,0
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y8",0.0106921545,0,0,0.0074852315,0,0,0,0,0,0,0.015144499,0,0,0,0,0,0,0.017428031,0,0,0.006341323,0,0,0.0110013605,0.0075079565,0,0.0087629585,0.0080835495,0,0.008871293,0,0.0061907035,0,0.0057405115,0,0,0,0,0,0.0042823545,0,0.0071732145,0
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y9",0.002653571,0,0,0,0,0.0020556655,0,0,0,0,0.003379035,0,0,0,0,0.0020788925,0,0.0039724655,0,0.0018555385,0,0,0,0.002496965,0.001731884,0,0,0.001837426,0,0.00208807,0,0.001290115,0,0.0011509895,0,0.001740722,0,0,0,0.0009976575,0,0.0015478395,0
